"race","sex","x","lx","dx","Lx"
"all","male","[30,31)",96994.484375,218.364242553711,96885.296875
"all","male","[31,32)",96776.1171875,227.519943237305,96662.359375
"all","male","[32,33)",96548.59375,236.349166870117,96430.421875
"all","male","[33,34)",96312.2421875,244.531509399414,96189.9765625
"all","male","[34,35)",96067.7109375,252.328643798828,95941.546875
"all","male","[35,36)",95815.3828125,260.836578369141,95684.96875
"all","male","[36,37)",95554.546875,270.130493164062,95419.484375
"all","male","[37,38)",95284.4140625,279.273986816406,95144.78125
"all","male","[38,39)",95005.140625,288.161071777344,94861.0625
"all","male","[39,40)",94716.9765625,297.408508300781,94568.2734375
"all","male","[40,41)",94419.5703125,308.176910400391,94265.484375
"all","male","[41,42)",94111.390625,321.056976318359,93950.859375
"all","male","[42,43)",93790.3359375,335.734100341797,93622.46875
"all","male","[43,44)",93454.6015625,352.25634765625,93278.46875
"all","male","[44,45)",93102.34375,370.866424560547,92916.90625
"all","male","[45,46)",92731.4765625,392.333679199219,92535.3125
"all","male","[46,47)",92339.140625,416.891326904297,92130.6953125
"all","male","[47,48)",91922.25,444.088317871094,91700.203125
"all","male","[48,49)",91478.1640625,473.946258544922,91241.1875
"all","male","[49,50)",91004.21875,506.908386230469,90750.765625
"all","male","[50,51)",90497.3125,541.640075683594,90226.4921875
"all","male","[51,52)",89955.671875,580.252746582031,89665.546875
"all","male","[52,53)",89375.421875,626.029724121094,89062.40625
"all","male","[53,54)",88749.390625,679.585571289062,88409.59375
"all","male","[54,55)",88069.8046875,738.128173828125,87700.7421875
"all","male","[55,56)",87331.6796875,796.030700683594,86933.6640625
"all","male","[56,57)",86535.6484375,853.118347167969,86109.09375
"all","male","[57,58)",85682.53125,914.072204589844,85225.5
"all","male","[58,59)",84768.4609375,980.614013671875,84278.15625
"all","male","[59,60)",83787.84375,1051.39990234375,83262.140625
"all","male","[60,Inf)",82736.4453125,82736.4432373047,1700138.04309082
"hispanic","all","[0,1)",1e+05,467.539520263672,99588.1015625
"hispanic","all","[1,2)",99532.4609375,28.4974384307861,99518.2109375
"hispanic","all","[2,3)",99503.9609375,18.349681854248,99494.78125
"hispanic","all","[3,4)",99485.609375,14.6119546890259,99478.3046875
"hispanic","all","[4,5)",99471,11.4418592453003,99465.28125
"hispanic","all","[5,6)",99459.5546875,10.3009510040283,99454.40625
"hispanic","all","[6,7)",99449.25,9.48751735687256,99444.5078125
"hispanic","all","[7,8)",99439.765625,8.89720630645752,99435.3125
"hispanic","all","[8,9)",99430.8671875,8.26188278198242,99426.734375
"hispanic","all","[9,10)",99422.6015625,7.66594552993774,99418.765625
"hispanic","all","[10,11)",99414.9375,7.54618453979492,99411.1640625
"hispanic","all","[11,12)",99407.390625,8.62666320800781,99403.078125
"hispanic","all","[12,13)",99398.765625,11.7649564743042,99392.8828125
"hispanic","all","[13,14)",99387,17.5234088897705,99378.234375
"hispanic","all","[14,15)",99369.4765625,25.4383869171143,99356.7578125
"hispanic","all","[15,16)",99344.0390625,34.4568824768066,99326.8125
"hispanic","all","[16,17)",99309.5859375,43.6686706542969,99287.75
"hispanic","all","[17,18)",99265.9140625,53.0722770690918,99239.375
"hispanic","all","[18,19)",99212.84375,62.1862640380859,99181.75
"hispanic","all","[19,20)",99150.65625,70.9459991455078,99115.1875
"hispanic","all","[20,21)",99079.7109375,80.0558090209961,99039.6875
"hispanic","all","[21,22)",98999.65625,89.2608108520508,98955.03125
"hispanic","all","[22,23)",98910.3984375,97.2276611328125,98861.78125
"hispanic","all","[23,24)",98813.171875,103.340141296387,98761.5
"hispanic","all","[24,25)",98709.828125,107.932594299316,98655.859375
"hispanic","all","[25,26)",98601.8984375,111.955947875977,98545.921875
"hispanic","all","[26,27)",98489.9453125,115.984077453613,98431.953125
"hispanic","all","[27,28)",98373.9609375,119.83324432373,98314.046875
"hispanic","all","[28,29)",98254.125,123.792526245117,98192.234375
"hispanic","all","[29,30)",98130.3359375,127.993431091309,98066.34375
"hispanic","all","[30,31)",98002.34375,132.289794921875,97936.203125
"hispanic","all","[31,32)",97870.0546875,136.749816894531,97801.6796875
"hispanic","all","[32,33)",97733.3046875,141.720062255859,97662.4453125
"hispanic","all","[33,34)",97591.5859375,147.263259887695,97517.953125
"hispanic","all","[34,35)",97444.3203125,153.292526245117,97367.671875
"hispanic","all","[35,36)",97291.03125,159.92138671875,97211.0703125
"hispanic","all","[36,37)",97131.109375,167.020538330078,97047.59375
"hispanic","all","[37,38)",96964.0859375,174.342727661133,96876.9140625
"hispanic","all","[38,39)",96789.7421875,181.881164550781,96698.796875
"hispanic","all","[39,40)",96607.859375,189.996765136719,96512.859375
"hispanic","all","[40,41)",96417.859375,198.870391845703,96318.421875
"hispanic","all","[41,42)",96218.9921875,209.148056030273,96114.421875
"hispanic","all","[42,43)",96009.84375,221.595001220703,95899.046875
"hispanic","all","[43,44)",95788.25,236.72314453125,95669.890625
"hispanic","all","[44,45)",95551.5234375,254.342132568359,95424.3515625
"hispanic","all","[45,46)",95297.1796875,273.976013183594,95160.1875
"hispanic","all","[46,47)",95023.203125,295.249176025391,94875.578125
"hispanic","all","[47,48)",94727.953125,318.365631103516,94568.765625
"hispanic","all","[48,49)",94409.5859375,343.403625488281,94237.8828125
"hispanic","all","[49,50)",94066.1796875,370.748046875,93880.8046875
"hispanic","all","[50,51)",93695.4296875,400.0556640625,93495.40625
"hispanic","all","[51,52)",93295.375,432.337585449219,93079.203125
"hispanic","all","[52,53)",92863.0390625,469.209991455078,92628.4375
"hispanic","all","[53,54)",92393.828125,511.257873535156,92138.203125
"hispanic","all","[54,55)",91882.5703125,557.469421386719,91603.8359375
"hispanic","all","[55,56)",91325.1015625,605.980041503906,91022.109375
"hispanic","all","[56,57)",90719.125,655.989685058594,90391.125
"hispanic","all","[57,58)",90063.1328125,708.463439941406,89708.90625
"hispanic","all","[58,59)",89354.671875,763.954956054688,88972.6953125
"hispanic","all","[59,60)",88590.71875,822.731323242188,88179.3515625
"hispanic","all","[60,Inf)",87767.984375,87767.9923095703,1983347.1159668
"hispanic","female","[0,1)",1e+05,426.921722412109,99623.03125
"hispanic","female","[1,2)",99573.078125,25.9514274597168,99560.1015625
"hispanic","female","[2,3)",99547.125,16.5628776550293,99538.84375
"hispanic","female","[3,4)",99530.5625,11.0287914276123,99525.046875
"hispanic","female","[4,5)",99519.53125,11.9748277664185,99513.546875
"hispanic","female","[5,6)",99507.5546875,9.28628826141357,99502.90625
"hispanic","female","[6,7)",99498.265625,8.51340007781982,99494.0078125
"hispanic","female","[7,8)",99489.75,8.14500713348389,99485.671875
"hispanic","female","[8,9)",99481.6015625,8.03670406341553,99477.578125
"hispanic","female","[9,10)",99473.5625,8.16872501373291,99469.4765625
"hispanic","female","[10,11)",99465.390625,8.64943695068359,99461.0625
"hispanic","female","[11,12)",99456.7421875,9.69849681854248,99451.890625
"hispanic","female","[12,13)",99447.046875,11.596510887146,99441.25
"hispanic","female","[13,14)",99435.453125,14.5269937515259,99428.1875
"hispanic","female","[14,15)",99420.9296875,18.2948570251465,99411.78125
"hispanic","female","[15,16)",99402.6328125,22.6078853607178,99391.328125
"hispanic","female","[16,17)",99380.0234375,26.985258102417,99366.53125
"hispanic","female","[17,18)",99353.0390625,31.1389331817627,99337.46875
"hispanic","female","[18,19)",99321.8984375,34.7470550537109,99304.5234375
"hispanic","female","[19,20)",99287.1484375,37.900016784668,99268.203125
"hispanic","female","[20,21)",99249.25,41.1950302124023,99228.65625
"hispanic","female","[21,22)",99208.0546875,44.6540756225586,99185.7265625
"hispanic","female","[22,23)",99163.3984375,47.595531463623,99139.6015625
"hispanic","female","[23,24)",99115.8046875,49.7978744506836,99090.90625
"hispanic","female","[24,25)",99066.0078125,51.4802436828613,99040.265625
"hispanic","female","[25,26)",99014.53125,52.8256225585938,98988.1171875
"hispanic","female","[26,27)",98961.703125,54.3978462219238,98934.5
"hispanic","female","[27,28)",98907.3046875,56.7249069213867,98878.9375
"hispanic","female","[28,29)",98850.578125,60.2209548950195,98820.46875
"hispanic","female","[29,30)",98790.359375,64.6930770874023,98758.015625
"hispanic","female","[30,31)",98725.6640625,69.8633193969727,98690.734375
"hispanic","female","[31,32)",98655.796875,74.9973449707031,98618.296875
"hispanic","female","[32,33)",98580.796875,79.5125274658203,98541.0390625
"hispanic","female","[33,34)",98501.28125,82.8475723266602,98459.859375
"hispanic","female","[34,35)",98418.4375,85.3680953979492,98375.75
"hispanic","female","[35,36)",98333.0703125,88.0990600585938,98289.015625
"hispanic","female","[36,37)",98244.96875,91.6170959472656,98199.15625
"hispanic","female","[37,38)",98153.3515625,95.6330032348633,98105.53125
"hispanic","female","[38,39)",98057.71875,100.37873840332,98007.53125
"hispanic","female","[39,40)",97957.34375,106.057716369629,97904.3125
"hispanic","female","[40,41)",97851.2890625,112.173782348633,97795.203125
"hispanic","female","[41,42)",97739.1171875,119.376266479492,97679.4296875
"hispanic","female","[42,43)",97619.7421875,129.099670410156,97555.1875
"hispanic","female","[43,44)",97490.640625,141.987686157227,97419.6484375
"hispanic","female","[44,45)",97348.65625,157.486618041992,97269.9140625
"hispanic","female","[45,46)",97191.171875,174.786071777344,97103.78125
"hispanic","female","[46,47)",97016.3828125,192.852127075195,96919.953125
"hispanic","female","[47,48)",96823.53125,211.391021728516,96717.8359375
"hispanic","female","[48,49)",96612.140625,230.147994995117,96497.0625
"hispanic","female","[49,50)",96381.9921875,249.737579345703,96257.125
"hispanic","female","[50,51)",96132.2578125,271.211029052734,95996.65625
"hispanic","female","[51,52)",95861.046875,295.173736572266,95713.4609375
"hispanic","female","[52,53)",95565.875,321.259368896484,95405.25
"hispanic","female","[53,54)",95244.6171875,349.235382080078,95070
"hispanic","female","[54,55)",94895.3828125,378.964447021484,94705.90625
"hispanic","female","[55,56)",94516.421875,409.167510986328,94311.84375
"hispanic","female","[56,57)",94107.2578125,441.515747070312,93886.5
"hispanic","female","[57,58)",93665.7421875,479.383270263672,93426.046875
"hispanic","female","[58,59)",93186.359375,525.01025390625,92923.859375
"hispanic","female","[59,60)",92661.3515625,577.518798828125,92372.59375
"hispanic","female","[60,Inf)",92083.8359375,92083.8380737305,2256648.69384766
"hispanic","male","[0,1)",1e+05,506.647644042969,99554.65625
"hispanic","male","[1,2)",99493.3515625,30.4120197296143,99478.140625
"hispanic","male","[2,3)",99462.9375,19.7188625335693,99453.078125
"hispanic","male","[3,4)",99443.21875,17.7106761932373,99434.359375
"hispanic","male","[4,5)",99425.5078125,10.7641878128052,99420.125
"hispanic","male","[5,6)",99414.7421875,11.0848731994629,99409.203125
"hispanic","male","[6,7)",99403.65625,10.282862663269,99398.515625
"hispanic","male","[7,8)",99393.375,9.50133323669434,99388.625
"hispanic","male","[8,9)",99383.875,8.34039783477783,99379.703125
"hispanic","male","[9,10)",99375.53125,6.98879289627075,99372.03125
"hispanic","male","[10,11)",99368.5390625,6.21909809112549,99365.4296875
"hispanic","male","[11,12)",99362.3203125,7.27095460891724,99358.6875
"hispanic","male","[12,13)",99355.046875,11.5900506973267,99349.25
"hispanic","male","[13,14)",99343.453125,20.1226978302002,99333.390625
"hispanic","male","[14,15)",99323.328125,32.1242294311523,99307.265625
"hispanic","male","[15,16)",99291.203125,45.8218879699707,99268.296875
"hispanic","male","[16,17)",99245.3828125,59.8000831604004,99215.484375
"hispanic","male","[17,18)",99185.5859375,74.2079620361328,99148.484375
"hispanic","male","[18,19)",99111.375,88.3327941894531,99067.203125
"hispanic","male","[19,20)",99023.0390625,102.021942138672,98972.03125
"hispanic","male","[20,21)",98921.015625,116.132621765137,98862.953125
"hispanic","male","[21,22)",98804.8828125,130.309799194336,98739.7265625
"hispanic","male","[22,23)",98674.5703125,142.75163269043,98603.1953125
"hispanic","male","[23,24)",98531.8203125,152.57536315918,98455.53125
"hispanic","male","[24,25)",98379.2421875,160.12467956543,98299.1796875
"hispanic","male","[25,26)",98219.1171875,166.98779296875,98135.625
"hispanic","male","[26,27)",98052.1328125,173.522994995117,97965.375
"hispanic","male","[27,28)",97878.609375,178.703369140625,97789.2578125
"hispanic","male","[28,29)",97699.90625,182.591583251953,97608.609375
"hispanic","male","[29,30)",97517.3125,185.77067565918,97424.421875
"hispanic","male","[30,31)",97331.5390625,188.370819091797,97237.359375
"hispanic","male","[31,32)",97143.171875,191.50048828125,97047.421875
"hispanic","male","[32,33)",96951.671875,196.55549621582,96853.390625
"hispanic","male","[33,34)",96755.1171875,204.32568359375,96652.953125
"hispanic","male","[34,35)",96550.7890625,214.189453125,96443.6953125
"hispanic","male","[35,36)",96336.6015625,225.161331176758,96224.015625
"hispanic","male","[36,37)",96111.4375,236.233291625977,95993.3203125
"hispanic","male","[37,38)",95875.203125,247.202865600586,95751.6015625
"hispanic","male","[38,39)",95628,257.734466552734,95499.1328125
"hispanic","male","[39,40)",95370.265625,268.354461669922,95236.09375
"hispanic","male","[40,41)",95101.9140625,280.044708251953,94961.890625
"hispanic","male","[41,42)",94821.8671875,293.460083007812,94675.140625
"hispanic","male","[42,43)",94528.40625,308.560089111328,94374.125
"hispanic","male","[43,44)",94219.84375,325.687713623047,94057
"hispanic","male","[44,45)",93894.15625,345.040557861328,93721.640625
"hispanic","male","[45,46)",93549.1171875,366.611175537109,93365.8125
"hispanic","male","[46,47)",93182.5078125,390.683532714844,92987.171875
"hispanic","male","[47,48)",92791.828125,417.802764892578,92582.921875
"hispanic","male","[48,49)",92374.0234375,448.274536132812,92149.890625
"hispanic","male","[49,50)",91925.75,482.241271972656,91684.625
"hispanic","male","[50,51)",91443.5078125,517.952514648438,91184.53125
"hispanic","male","[51,52)",90925.5546875,557.078002929688,90647.015625
"hispanic","male","[52,53)",90368.4765625,603.499267578125,90066.7265625
"hispanic","male","[53,54)",89764.9765625,658.946594238281,89435.5
"hispanic","male","[54,55)",89106.03125,721.59130859375,88745.234375
"hispanic","male","[55,56)",88384.4375,788.76708984375,87990.0546875
"hispanic","male","[56,57)",87595.671875,856.844970703125,87167.25
"hispanic","male","[57,58)",86738.828125,924.346069335938,86276.65625
"hispanic","male","[58,59)",85814.484375,989.90966796875,85319.53125
"hispanic","male","[59,60)",84824.578125,1055.03869628906,84297.0625
"hispanic","male","[60,Inf)",83769.5390625,83769.5413208008,1711780.61706543
"non-hispanic asian","all","[0,1)",1e+05,311.440521240234,99720.015625
"non-hispanic asian","all","[1,2)",99688.5625,20.1058921813965,99678.5078125
"non-hispanic asian","all","[2,3)",99668.453125,14.6187000274658,99661.140625
"non-hispanic asian","all","[3,4)",99653.8359375,8.95025157928467,99649.359375
"non-hispanic asian","all","[4,5)",99644.8828125,7.04257440567017,99641.359375
"non-hispanic asian","all","[5,6)",99637.84375,7.34933233261108,99634.171875
"non-hispanic asian","all","[6,7)",99630.4921875,6.75637102127075,99627.109375
"non-hispanic asian","all","[7,8)",99623.734375,6.29369926452637,99620.5859375
"non-hispanic asian","all","[8,9)",99617.4375,5.80917739868164,99614.53125
"non-hispanic asian","all","[9,10)",99611.625,5.34517765045166,99608.953125
"non-hispanic asian","all","[10,11)",99606.28125,5.17173624038696,99603.6953125
"non-hispanic asian","all","[11,12)",99601.109375,5.78914070129395,99598.21875
"non-hispanic asian","all","[12,13)",99595.3203125,7.80578231811523,99591.421875
"non-hispanic asian","all","[13,14)",99587.515625,11.5242433547974,99581.75
"non-hispanic asian","all","[14,15)",99575.9921875,16.4446563720703,99567.765625
"non-hispanic asian","all","[15,16)",99559.546875,21.5661964416504,99548.765625
"non-hispanic asian","all","[16,17)",99537.984375,26.5493984222412,99524.7109375
"non-hispanic asian","all","[17,18)",99511.4375,31.7703018188477,99495.546875
"non-hispanic asian","all","[18,19)",99479.6640625,37.1760749816895,99461.078125
"non-hispanic asian","all","[19,20)",99442.484375,42.4852142333984,99421.2421875
"non-hispanic asian","all","[20,21)",99400,48.054615020752,99375.96875
"non-hispanic asian","all","[21,22)",99351.9453125,52.9038848876953,99325.4921875
"non-hispanic asian","all","[22,23)",99299.0390625,55.4592552185059,99271.3125
"non-hispanic asian","all","[23,24)",99243.578125,55.1592216491699,99216
"non-hispanic asian","all","[24,25)",99188.421875,53.0984306335449,99161.875
"non-hispanic asian","all","[25,26)",99135.3203125,50.6465721130371,99110
"non-hispanic asian","all","[26,27)",99084.671875,48.9300155639648,99060.203125
"non-hispanic asian","all","[27,28)",99035.7421875,48.1410484313965,99011.671875
"non-hispanic asian","all","[28,29)",98987.6015625,48.6181373596191,98963.296875
"non-hispanic asian","all","[29,30)",98938.984375,50.0179748535156,98913.9765625
"non-hispanic asian","all","[30,31)",98888.96875,51.6377830505371,98863.1484375
"non-hispanic asian","all","[31,32)",98837.328125,53.1725387573242,98810.7421875
"non-hispanic asian","all","[32,33)",98784.15625,54.9793510437012,98756.671875
"non-hispanic asian","all","[33,34)",98729.1796875,57.0756225585938,98700.640625
"non-hispanic asian","all","[34,35)",98672.1015625,59.5062713623047,98642.34375
"non-hispanic asian","all","[35,36)",98612.59375,62.5622444152832,98581.3125
"non-hispanic asian","all","[36,37)",98550.03125,66.0793838500977,98516.9921875
"non-hispanic asian","all","[37,38)",98483.953125,69.6541290283203,98449.125
"non-hispanic asian","all","[38,39)",98414.296875,73.1798629760742,98377.703125
"non-hispanic asian","all","[39,40)",98341.1171875,76.9984893798828,98302.6171875
"non-hispanic asian","all","[40,41)",98264.1171875,81.3466796875,98223.4453125
"non-hispanic asian","all","[41,42)",98182.7734375,86.9587707519531,98139.296875
"non-hispanic asian","all","[42,43)",98095.8125,94.465087890625,98048.578125
"non-hispanic asian","all","[43,44)",98001.34375,104.065238952637,97949.3125
"non-hispanic asian","all","[44,45)",97897.28125,115.161598205566,97839.703125
"non-hispanic asian","all","[45,46)",97782.1171875,126.928901672363,97718.65625
"non-hispanic asian","all","[46,47)",97655.1875,139.165283203125,97585.609375
"non-hispanic asian","all","[47,48)",97516.0234375,152.451614379883,97439.796875
"non-hispanic asian","all","[48,49)",97363.5703125,167.375274658203,97279.8828125
"non-hispanic asian","all","[49,50)",97196.1953125,184.315505981445,97104.0390625
"non-hispanic asian","all","[50,51)",97011.8828125,204.033218383789,96909.8671875
"non-hispanic asian","all","[51,52)",96807.8515625,225.464340209961,96695.125
"non-hispanic asian","all","[52,53)",96582.390625,246.721420288086,96459.03125
"non-hispanic asian","all","[53,54)",96335.671875,266.274932861328,96202.53125
