"x","mx_lost_none_to_lost_mom","se_mx_lost_none_to_lost_mom","mx_lost_none_to_lost_dad","se_mx_lost_none_to_lost_dad","mx_lost_none_to_lost_both","se_mx_lost_none_to_lost_both","mx_lost_dad_to_lost_both","se_mx_lost_dad_to_lost_both","mx_lost_mom_to_lost_both","se_mx_lost_mom_to_lost_both","sex","race"
"[20,25)",0.00284817465749744,0.000223923572837049,0.00659423251010305,0.000339390554312886,0.000175343482214961,5.90053670239291e-05,0.00540324911054844,0.000904423401538319,0.0159882856351545,0.00244841712081106,"female","all"
"[20,25)",0.00219029327297452,0.000179466223816962,0.0056794895120038,0.000343172234526755,0.000102925457090268,5.22872697327725e-05,0.00835257705958774,0.00149346603446297,0.0173759402558436,0.00398869858482677,"male","all"
"[25,30)",0.00383116785305821,0.000294641956926293,0.00799043287646459,0.000340955546854531,0.000178893095407156,5.33381596513237e-05,0.00804634032389197,0.00104641456966866,0.0152541707006749,0.00201508387928723,"female","all"
"[25,30)",0.00303878879020295,0.000269899359916213,0.00697521019764101,0.00034851947499679,0.000104341514845538,5.2984763020145e-05,0.00669105065468787,0.00105062499795771,0.0160195803691538,0.00225204897388694,"male","all"
"[30,35)",0.00529391173368744,0.000351838294039534,0.0114288300223145,0.000472959310883029,0.000317767779596239,8.84919226807214e-05,0.0119027090097675,0.00126315819753958,0.0278592373258692,0.00286846204808785,"female","all"
"[30,35)",0.00496076670998035,0.000379607690927113,0.0102132139127962,0.000471720644693801,0.000145057890434418,5.59725136286443e-05,0.0105697247797697,0.00122985367355878,0.0246735258532362,0.0031497190940935,"male","all"
"[35,40)",0.00682997422526015,0.000399689667038547,0.0167228729123621,0.000705432066651629,0.000537552476433858,0.000160469704063274,0.0146277353560558,0.00100882202983315,0.0310690862444992,0.00309196928545114,"female","all"
"[35,40)",0.0066754356579698,0.000492158732875273,0.0149893448812451,0.000641791799148516,0.000410984933872731,9.61384424610443e-05,0.0122689591029699,0.00124833787370212,0.0265812317508173,0.00272855350407533,"male","all"
"[40,45)",0.0115635371971215,0.000706983490769364,0.0224553174197457,0.000932800096402294,0.00093661394058839,0.000173645832056774,0.0225741011784822,0.00136251299784968,0.04005812105401,0.00319990234857193,"female","all"
"[40,45)",0.00975653951195523,0.000682827257635707,0.0231741308605491,0.000989571072620099,0.000473886930820986,0.000131461890109432,0.0219194575787158,0.00180910052128119,0.0390113157336308,0.00334898781606683,"male","all"
"[45,50)",0.0136018332974216,0.000820932133874658,0.0317720967860753,0.0013068619122515,0.00129354762308845,0.000264805242221667,0.0289048057150174,0.00146030683583096,0.0559297628997023,0.00351776095568723,"female","all"
"[45,50)",0.0129570307019367,0.000894668037929075,0.0303992306392433,0.0012723268249696,0.00164990128550358,0.000280902101126089,0.0312952334279966,0.00172576257550053,0.0544342381512491,0.00358748264248027,"male","all"
"[50,55)",0.0204887820770692,0.00137128804439102,0.0509360083145361,0.00206242248801202,0.00380899061200217,0.000549032645427714,0.049077545235741,0.00183831695095303,0.078909507538311,0.00451804086291353,"female","all"
"[50,55)",0.0221984978888102,0.00128752496408248,0.0469879262583043,0.00206167626668246,0.00379436633586843,0.000594623660147615,0.0472423031317547,0.00212011985361607,0.0829296637104781,0.00464957515264763,"male","all"
"[55,60)",0.0337415231558049,0.00203670592811724,0.0719863509355698,0.00324258974150074,0.00596515291741772,0.0010961218959984,0.064662945093614,0.00245061666693589,0.0987312339186888,0.00533877448512856,"female","all"
"[55,60)",0.0345282070586002,0.00227510400926117,0.0708555502258456,0.00316568967156813,0.00420649504798549,0.000830964221343135,0.0624609584706462,0.00249553851092272,0.112109466547817,0.0062798636743103,"male","all"
"[60,Inf)",0.0505564733645657,0.0034765767964818,0.104330799329684,0.00533730975063789,0.0180412203201436,0.00223159973538333,0.127112475127519,0.00266326132611203,0.161586298832828,0.00616614851884007,"female","all"
"[60,Inf)",0.0606353841923027,0.00420283630372597,0.110862021884868,0.00599186638123683,0.0153807756136437,0.00223985043060306,0.121641996804855,0.00292403027613545,0.176852422456426,0.00684967187870138,"male","all"
"[0,5)",0.000744746647265701,0.000131081552116114,0.00229706107989549,0.0002908080180052,0.000179266870128242,0.000101011737490727,0,0,0.0238672681344677,0.0230720243948714,"all","hispanic"
"[0,5)",0.00090038929284007,0.000210720681062733,0.0029507050556982,0.000410361798222199,0.000137261802397419,7.49427927709066e-05,0,0,0,0,"all","non-hispanic black"
"[0,5)",0.000720793010855776,8.6406072332184e-05,0.00155839765903404,0.000116219862389923,9.35883689160799e-05,3.84997686535203e-05,0.00171921042431964,0.00165682561995349,0.00362843189222551,0.00334073052026246,"all","non-hispanic white"
"[5,10)",0.0010168258319186,0.000173865413890816,0.00276066745703998,0.000354225514918574,0,0,0.00146499291990396,0.00144261447289761,0.00773228800412063,0.00584330338917232,"all","hispanic"
"[5,10)",0.00186140161524659,0.000321831866986464,0.00370614619461187,0.000573175995690437,3.49902363826899e-05,3.40218506123591e-05,0.00653448821170364,0.00266166633659642,0.00384083176490656,0.00396440748475662,"all","non-hispanic black"
"[5,10)",0.000811294730376211,8.26757609331347e-05,0.00187307006012324,0.000125638022376559,1.22499609910843e-05,7.43213836106008e-06,0.00347729327026235,0.00137491685986676,0.00877908659405192,0.00331340557543961,"all","non-hispanic white"
"[10,15)",0.00105631647125102,0.000184673767623353,0.00267253923036154,0.000320881287995285,5.05579427686967e-05,3.48451181520581e-05,0.00237137266273746,0.00188744446688377,0.00578497029347447,0.00420017680923542,"all","hispanic"
"[10,15)",0.00259538336810863,0.000594603758152809,0.00459695086119142,0.000644828725929742,9.64612091615832e-05,7.18541733321626e-05,0.00465880401486075,0.0024444474657621,0.010422946363196,0.007065170624486,"all","non-hispanic black"
"[10,15)",0.00101960228900099,9.91800204799427e-05,0.00304104134607263,0.000157165499746748,3.35782456591341e-05,1.83884271843588e-05,0.00246773746867569,0.00104742040252369,0.00520686204817655,0.00175522106315146,"all","non-hispanic white"
"[15,20)",0.00176881136077382,0.000299248302992438,0.00424143852673889,0.000414569169782287,9.05793912142708e-05,5.46507539703508e-05,0.00299281310836733,0.00127859034121938,0.0257796157637491,0.00654448613053584,"all","hispanic"
"[15,20)",0.00279023549427436,0.000508301097134887,0.00702134653701415,0.000720098549698226,0.000219799482618133,0.000139285538742018,0.00538100009959069,0.00304799769261966,0.0212098211464386,0.00779820791155541,"all","non-hispanic black"
"[15,20)",0.00188354086647827,0.000135006336682313,0.00433854709126191,0.000203687267608028,4.04529551917192e-05,1.84028610976657e-05,0.00347118002669509,0.000910854476431096,0.0153751075328258,0.00336094569422799,"all","non-hispanic white"
"[20,25)",0.00236336800491093,0.000335607753195075,0.0055992738136378,0.000620232053857249,0.000120429298455815,6.56981255293212e-05,0.00405529531605283,0.0014123938783316,0.0201658510115193,0.00693897942155484,"all","hispanic"
