"sex","race","x","lx","dx","Lx","pr_lost_none","pr_lost_mom","pr_lost_dad","pr_lost_both","mx_lost_none_to_lost_mom","mx_lost_none_to_lost_dad","mx_lost_none_to_lost_both","mx_lost_dad_to_lost_both","mx_lost_mom_to_lost_both","Lx_lost_mom","Lx_lost_dad","Lx_lost_both","Lx_lost_none","dx_lost_mom_to_dead","dx_lost_dad_to_dead","dx_lost_both_to_dead","dx_lost_none_to_dead","dx_lost_none_to_lost_mom","dx_lost_none_to_lost_dad","dx_lost_none_to_lost_both","dx_lost_mom_to_lost_both","dx_lost_dad_to_lost_both","ex_lost_none","ex_lost_mom","ex_lost_dad","ex_lost_both","ex","lx_lost_mom","lx_lost_dad","lx_lost_both","lx_lost_none"
"all","all","[50,55)",92680.4765625,2565.52883911133,457393.171875,0.39564515509971,0.105335438471653,0.27342393922536,0.225595467203277,0.105335438471653,0.27342393922536,0.225595467203277,0.452077543071541,0.681699603556753,48179.7103133933,125062.242828845,103185.82630473,180965.392428033,270.241105179463,701.477001386084,578.771677082801,1015.03905546298,18955.1493756286,49202.7344841236,40595.9840424797,32659.8661658538,56220.7094697727,3.6407442990169,1.5731893412086,5.26251638948878,19.9234149960914,30.3998650258056,66455.7685083459,218967.365843078,187087.662922355,-379830.294748449
"all","all","[55,60)",90114.9453125,3739.42846679687,441757.1171875,0.214843198785484,0.0885169308462918,0.300194064159154,0.39644580620907,0.0885169308462918,0.300194064159154,0.39644580620907,0.569082854817827,0.817476840831614,39102.9841929432,132612.864379747,175132.756471993,94908.5121428162,331.002731000114,1122.55422908019,1482.48073328043,803.390773436137,8329.89652053532,28249.7988420647,37307.5807096863,31695.1969182911,74828.8810814232,1.73623280471942,1.08333004269519,4.02452981366495,19.3455787410178,26.1896714020973,52480.8106129412,211247.913856042,315985.450923378,-489599.201706144
"all","all","[60,Inf)",86375.515625,86375.5059814453,1918323.68896484,0.0320863535483196,0.0305064487795077,0.11992627782819,0.817480919843984,0.0305064487795077,0.11992627782819,0.817480919843984,0.872065972902707,0.964024878308002,58521.2433599222,230057.419687195,1568193.01381348,61552.0121042426,2635.00994902702,10358.6929278813,70610.3280817014,2771.47502283564,1793.18544370589,7049.33102091501,48051.9675222319,53875.7193630308,191591.783896847,0.712609489608967,0.677521204203199,2.66345639759757,18.1555270896652,22.2091141810749,28784.5074841853,163546.277387604,458334.628899498,-564289.868551866
"female","all","[0,5)",1e+05,570.810375213622,497416.5,0.995290117573198,0.00297519036692507,0.00173469205987665,0,0.00297519036692507,0.00173469205987665,0,0,0,1479.90877914959,862.864453001635,0,495073.726767849,1.69826952967646,0.990180225578283,0,568.121925458368,1471.24831191754,857.814946284596,0,0,0,45.6306844773029,3.25926284118158,9.4340035964052,21.5582818146025,79.8822327294922,0,0,0,1e+05
"female","all","[5,10)",99429.1953125,48.5401096343994,497017.7578125,0.986918506384773,0.00597805916065588,0.00558504270556291,0.00151839174900782,0.00597805916065588,0.00558504270556291,0.00151839174900782,0.213754594164067,0.202548081392817,2971.20156009966,2775.86540280594,754.667662572867,490516.023187021,0.290175647059162,0.271098585240826,0.073702901964807,47.9051325001346,2932.04742614548,2739.28538505157,744.722743605379,601.752400908952,593.296034062792,40.9134832900636,3.26308962190927,9.47948429256799,21.682043937745,75.3381011422859,1469.55004238786,856.824766059018,0,97102.8148163395
"female","all","[10,15)",99380.65625,63.3018407821655,496768.890625,0.970775111720301,0.00837160094213763,0.0208532873375617,0,0.00837160094213763,0.0208532873375617,0,0,0,4158.75091278091,10359.2644165649,0,482250.875295654,0.529937749931023,1.32005147482708,0,61.4518515574074,4036.6974315934,10055.234598213,0,0,0,35.9977367102104,3.2347861838446,9.45618257360533,21.6850400783873,70.3737455460475,3799.55489197733,3002.54301846256,1939.69747567516,90638.8541290369
"female","all","[15,20)",99317.359375,160.673711776733,496231.8203125,0.956391182913269,0.0100535643757507,0.0312639426524656,0.00229131005851501,0.0100535643757507,0.0312639426524656,0.00229131005851501,0.0682846908724129,0.185608210979855,4988.89855080768,15514.1631725786,1137.02096123724,474591.737627877,1.61534350483821,5.02329371074658,0.36815329193297,153.666921269216,4769.79368615585,14832.8046347178,1087.0847235525,925.680713757352,1059.0368223255,31.1650233348722,3.19497442202438,9.35790451152586,21.6988603740521,65.4167626424745,7835.7223858208,13056.4575652007,1939.69747567516,76485.4702476731
"female","all","[20,25)",99156.6875,280.903316497803,495129.109375,0.922183368888505,0.0191106436574508,0.0567920627526814,0.00191392470136216,0.0191106436574508,0.0567920627526814,0.00191392470136216,0.0326018654035999,0.0910327702665958,9462.23597369659,28119.4034503043,947.639832796257,456599.830118203,5.36824318378562,15.9530787779795,0.537627796139696,259.044366739898,8720.9661428573,25916.534541005,873.40190208874,860.884867553355,916.22490638925,26.4292419495346,3.14983822261429,9.21660681933902,21.7225539410687,60.5182409325566,11678.2200147145,26825.2020838823,5011.13158201858,55642.1202819778
"female","all","[25,30)",98875.7890625,396.827178955078,493437.59375,0.892295851841272,0.0400281678715494,0.0629135042806473,0.00476247600653107,0.0400281678715494,0.0629135042806473,0.00476247600653107,0.0703717328706852,0.106327473645935,19751.4028367584,31043.8881666229,2349.9847009548,440292.318045664,15.8842649352072,24.9657884218675,1.88987991851297,354.08724567949,17609.9213555742,27678.0557666552,2095.19526854065,2098.4278308344,2182.85531953528,21.8864119846951,3.06308845889646,8.95839929211957,21.7746818853979,55.6825816211091,19532.9330468346,51809.5586397201,7661.10563025379,19872.1733292868
"female","all","[30,35)",98478.96875,545.525848388673,491094.8671875,0.830243467458216,0.049100697888851,0.103755691274697,0.0169001433782363,0.049100697888851,0.103755691274697,0.0169001433782363,0.140069010560904,0.256059514602943,24113.1007085389,50953.8874264944,8299.57366778466,407728.305384682,26.7856998722914,56.601411507782,9.21946505430256,452.919271954297,19997.5056910862,42257.139225295,6883.01241973165,6167.53012969275,7129.13249235449,17.5036757448582,2.87486647249102,8.67926341459218,21.8385600052568,50.8963656371982,35028.5423066392,77279.7932984181,14035.6941692456,-27865.0863071628
