"x","race","name","value"
"[25,30)","all","se_pr_lost_both",0.000757999818870577
"[25,30)","all","se_mx_lost_none_to_lost_mom",0.000190306658168777
"[25,30)","all","se_mx_lost_none_to_lost_dad",0.000242434456314643
"[25,30)","all","se_mx_lost_none_to_lost_both",3.53798069876992e-05
"[25,30)","all","se_mx_lost_dad_to_lost_both",0.000699545369208336
"[25,30)","all","se_mx_lost_mom_to_lost_both",0.00152935412948283
"[25,30)","all","se_Lx_lost_mom",579.589836812937
"[25,30)","all","se_Lx_lost_dad",864.776506291826
"[25,30)","all","se_Lx_lost_both",371.731360344035
"[25,30)","all","se_Lx_lost_none",1107.59421107699
"[25,30)","all","se_dx_lost_mom_to_dead",0.81518207162811
"[25,30)","all","se_dx_lost_dad_to_dead",1.21629169305433
"[25,30)","all","se_dx_lost_both_to_dead",0.522833081547268
"[25,30)","all","se_dx_lost_none_to_dead",1.55781017223125
"[30,35)","all","se_pr_lost_none",0.00265478267806774
"[30,35)","all","se_pr_lost_mom",0.00138294612541157
"[30,35)","all","se_pr_lost_dad",0.00198878966991997
"[30,35)","all","se_pr_lost_both",0.00105615651102616
"[30,35)","all","se_mx_lost_none_to_lost_mom",0.000254440895697391
"[30,35)","all","se_mx_lost_none_to_lost_dad",0.000315129433466231
"[30,35)","all","se_mx_lost_none_to_lost_both",4.89594871368908e-05
"[30,35)","all","se_mx_lost_dad_to_lost_both",0.000868025457034527
"[30,35)","all","se_mx_lost_mom_to_lost_both",0.00212486898382879
"[30,35)","all","se_Lx_lost_mom",672.83860916026
"[30,35)","all","se_Lx_lost_dad",967.596966239745
"[30,35)","all","se_Lx_lost_both",513.847115861372
"[30,35)","all","se_Lx_lost_none",1291.6195735407
"[30,35)","all","se_dx_lost_mom_to_dead",1.20234116076278
"[30,35)","all","se_dx_lost_dad_to_dead",1.72906495510298
"[30,35)","all","se_dx_lost_both_to_dead",0.918228427037561
"[30,35)","all","se_dx_lost_none_to_dead",2.30808303235308
"[35,40)","all","se_pr_lost_none",0.00293139953392421
"[35,40)","all","se_pr_lost_mom",0.00160985435880934
"[35,40)","all","se_pr_lost_dad",0.00223643273499886
"[35,40)","all","se_pr_lost_both",0.00147396544768405
"[35,40)","all","se_mx_lost_none_to_lost_mom",0.000303517476687808
"[35,40)","all","se_mx_lost_none_to_lost_dad",0.000439136948620826
"[35,40)","all","se_mx_lost_none_to_lost_both",9.13937549373307e-05
"[35,40)","all","se_mx_lost_dad_to_lost_both",0.000804702446111533
"[35,40)","all","se_mx_lost_mom_to_lost_both",0.00178675288819472
"[35,40)","all","se_Lx_lost_mom",775.475673683459
"[35,40)","all","se_Lx_lost_dad",1077.30191388473
"[35,40)","all","se_Lx_lost_both",710.017239928657
"[35,40)","all","se_Lx_lost_none",1412.07123238561
"[35,40)","all","se_dx_lost_mom_to_dead",1.70971664414579
"[35,40)","all","se_dx_lost_dad_to_dead",2.37516285222723
"[35,40)","all","se_dx_lost_both_to_dead",1.56539828898874
"[35,40)","all","se_dx_lost_none_to_dead",3.11323974517684
"[40,45)","all","se_pr_lost_none",0.00330542783043002
"[40,45)","all","se_pr_lost_mom",0.00188097399553201
"[40,45)","all","se_pr_lost_dad",0.00283127211143292
"[40,45)","all","se_pr_lost_both",0.00207198708501295
"[40,45)","all","se_mx_lost_none_to_lost_mom",0.000482502066423634
"[40,45)","all","se_mx_lost_none_to_lost_dad",0.000671592297594859
"[40,45)","all","se_mx_lost_none_to_lost_both",0.00012113551818385
"[40,45)","all","se_mx_lost_dad_to_lost_both",0.00116044263023638
"[40,45)","all","se_mx_lost_mom_to_lost_both",0.00222943719650242
"[40,45)","all","se_Lx_lost_mom",894.965502014809
"[40,45)","all","se_Lx_lost_dad",1347.11637298973
"[40,45)","all","se_Lx_lost_both",985.849334499881
"[40,45)","all","se_Lx_lost_none",1572.71917881981
"[40,45)","all","se_dx_lost_mom_to_dead",2.48801897428916
"[40,45)","all","se_dx_lost_dad_to_dead",3.74500591255034
"[40,45)","all","se_dx_lost_both_to_dead",2.74067753952985
"[40,45)","all","se_dx_lost_none_to_dead",4.372185463376
"[45,50)","all","se_pr_lost_none",0.00378689887257263
"[45,50)","all","se_pr_lost_mom",0.00229805926745186
"[45,50)","all","se_pr_lost_dad",0.00353529023115647
"[45,50)","all","se_pr_lost_both",0.00279284713087678
"[45,50)","all","se_mx_lost_none_to_lost_mom",0.000589733162749912
"[45,50)","all","se_mx_lost_none_to_lost_dad",0.000870383085057706
