"sex","race","x","name","value"
"all","all","[3,4)","dx_lost_none_to_lost_mom",0
"all","all","[3,4)","dx_lost_none_to_lost_dad",0
"all","all","[3,4)","dx_lost_none_to_lost_both",0
"all","all","[3,4)","dx_lost_mom_to_lost_both",NA
"all","all","[3,4)","dx_lost_dad_to_lost_both",NA
"all","all","[3,4)","ex_lost_none",43.5259852571319
"all","all","[3,4)","ex_lost_mom",3.09489497873722
"all","all","[3,4)","ex_lost_dad",8.8857364866337
"all","all","[3,4)","ex_lost_both",18.9451632986207
"all","all","[3,4)","ex",74.4517800211235
"all","all","[3,4)","lx_lost_mom",-0.121191444246414
"all","all","[3,4)","lx_lost_dad",84.8313758683805
"all","all","[3,4)","lx_lost_both",0
"all","all","[3,4)","lx_lost_none",99323.2947327206
"all","all","[4,5)","lx",99390.6796875
"all","all","[4,5)","dx",13.3327264785767
"all","all","[4,5)","Lx",99384.015625
"all","all","[4,5)","pr_lost_none",0.988412742584703
"all","all","[4,5)","pr_lost_mom",0.00536743293456301
"all","all","[4,5)","pr_lost_dad",0.00621982448073376
"all","all","[4,5)","pr_lost_both",0
"all","all","[4,5)","mx_lost_none_to_lost_mom",0
"all","all","[4,5)","mx_lost_none_to_lost_dad",0.000775973691155578
"all","all","[4,5)","mx_lost_none_to_lost_both",0
"all","all","[4,5)","mx_lost_dad_to_lost_both",0
"all","all","[4,5)","mx_lost_mom_to_lost_both",0
"all","all","[4,5)","Lx_lost_mom",533.43703863475
"all","all","[4,5)","Lx_lost_dad",618.151133378001
"all","all","[4,5)","Lx_lost_both",0
"all","all","[4,5)","Lx_lost_none",98232.4274529872
"all","all","[4,5)","dx_lost_mom_to_dead",0.0715625152086329
"all","all","[4,5)","dx_lost_dad_to_dead",0.0829272185463785
"all","all","[4,5)","dx_lost_both_to_dead",0
"all","all","[4,5)","dx_lost_none_to_dead",13.1782367448217
"all","all","[4,5)","dx_lost_none_to_lost_mom",0
"all","all","[4,5)","dx_lost_none_to_lost_dad",76.2155533568573
"all","all","[4,5)","dx_lost_none_to_lost_both",0
"all","all","[4,5)","dx_lost_mom_to_lost_both",0
"all","all","[4,5)","dx_lost_dad_to_lost_both",0
"all","all","[4,5)","ex_lost_none",42.5334831392911
"all","all","[4,5)","ex_lost_mom",3.09543431047692
"all","all","[4,5)","ex_lost_dad",8.88728495911849
"all","all","[4,5)","ex_lost_both",18.9484647766841
"all","all","[4,5)","ex",73.4646671855706
"all","all","[4,5)","lx_lost_mom",-0.121191444246414
"all","all","[4,5)","lx_lost_dad",84.8313758683805
"all","all","[4,5)","lx_lost_both",0
"all","all","[4,5)","lx_lost_none",99305.9727360318
"all","all","[5,6)","lx",99377.34375
"all","all","[5,6)","dx",12.6892776489258
"all","all","[5,6)","Lx",99371
"all","all","[5,6)","pr_lost_none",0.990926098567987
"all","all","[5,6)","pr_lost_mom",0.0060102860974874
"all","all","[5,6)","pr_lost_dad",0.0018649853663917
"all","all","[5,6)","pr_lost_both",0.00119862996813399
"all","all","[5,6)","mx_lost_none_to_lost_mom",0
"all","all","[5,6)","mx_lost_none_to_lost_dad",0
"all","all","[5,6)","mx_lost_none_to_lost_both",0
"all","all","[5,6)","mx_lost_dad_to_lost_both",0
"all","all","[5,6)","mx_lost_mom_to_lost_both",0
"all","all","[5,6)","Lx_lost_mom",597.24813979342
"all","all","[5,6)","Lx_lost_dad",185.32546084371
"all","all","[5,6)","Lx_lost_both",119.109058563443
"all","all","[5,6)","Lx_lost_none",98469.3173407994
"all","all","[5,6)","dx_lost_mom_to_dead",0.0762661890404963
"all","all","[5,6)","dx_lost_dad_to_dead",0.0236653171253279
"all","all","[5,6)","dx_lost_both_to_dead",0.0152097484639753
"all","all","[5,6)","dx_lost_none_to_dead",12.574136394296
"all","all","[5,6)","dx_lost_none_to_lost_mom",0
"all","all","[5,6)","dx_lost_none_to_lost_dad",0
"all","all","[5,6)","dx_lost_none_to_lost_both",0
