"race","sex","age","w","s_lost_none","s_lost_mom","s_lost_dad","s_lost_both","s_lost_none0","s_lost_mom0","s_lost_dad0","i_lost_none_to_lost_mom","i_lost_none_to_lost_dad","i_lost_dad_to_lost_both","i_lost_mom_to_lost_both","i_lost_none_to_lost_both"
"non-hispanic white","male",46,7371.398014,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic white","female",84,4092.9675816,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",43,8643.575961,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic asian","female",40,8643.575961,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic other","female",1,15622.756912,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic other","female",37,8941.9483656,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",38,8941.9483656,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic other","male",17,9776.828865,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic other","male",13,13601.073045,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic other","female",10,13464.549884,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic other","male",8,13233.977232,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic other","male",5,13233.977232,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",44,6619.0301193,0,1,0,0,1,1,0,1,0,0,0,0
"non-hispanic white","female",41,6619.0301193,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic white","male",82,5364.5035293,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",15,8425.3210344,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",14,11777.926836,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic other","female",64,5597.0168575,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",39,11864.283619,0,1,0,0,1,1,0,1,0,0,0,0
"non-hispanic white","male",38,13992.824412,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic asian","female",35,13992.824412,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic asian","male",5,20709.21371,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic asian","male",9,20709.21371,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",68,6884.4208059,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",19,7525.4534107,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic other","female",21,7076.6667527,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",83,5253.5292138,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",80,3140.9820202,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",64,8111.5458745,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",72,8111.5458745,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",24,11914.793221,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",49,7052.8794258,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",10,9509.8572238,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",69,4843.2172857,0,0,0,1,1,1,1,0,0,1,1,1
