"sex","race","w_i_lost_mom_first","w_i_lost_mom_last","w_i_lost_dad_first","w_i_lost_dad_last","w_i_lost_both","w_s_lost_none","w_s_lost_mom","w_s_lost_dad","w_s_lost_both","w_s_total","n_i_lost_mom_first","n_i_lost_mom_last","n_i_lost_dad_first","n_i_lost_dad_last","n_i_lost_both","n_s_lost_none","n_s_lost_mom","n_s_lost_dad","n_s_lost_both","age"
"female","hispanic",51968.0886134,90161.4384974,96149.9171264,24443.0253827,0,2585873.0240035,726855.2433944,1859964.4585092,1170679.2634742,6343371.9893813,8,13,12,4,0,383,103,273,166,48
"male","non-hispanic black",43937.9681663,89177.920726,38772.4468332,19836.4954996,0,1801472.4079784,353393.5564101,1349009.3634352,1059429.6805133,4563305.008337,3,10,5,3,0,235,51,172,141,48
"male","non-hispanic asian",0,12715.8593177,39295.1725318,0,9701.5194532,1175167.7667943,149384.6389441,656260.1268264,393970.5147602,2374783.047325,0,2,5,0,1,163,23,93,54,48
"male","hispanic",44175.2131761,14145.397246,82927.1737401,21388.0300581,0,2379570.4298147,633940.4509201,1543514.0589133,946790.7353111,5503815.6749592,5,2,12,3,0,331,89,211,125,49
"male","non-hispanic white",163112.5744162,243834.1768759,393569.2609666,224456.7126921,47632.055761,15645594.8451112,3525473.4045392,10447088.7213851,6058613.1141207,35676770.0851562,22,35,59,31,6,2212,505,1503,895,49
"female","non-hispanic white",253739.898818,332873.1320588,518453.911886,282341.1980733,21295.9942841,16474458.2984591,3892557.51521821,11553944.8182517,6799519.8558113,38720480.4877404,29,52,71,39,4,2418,565,1774,1019,49
"male","non-hispanic other",0,0,0,10909.8340234,0,345367.2561147,74675.5775526,248665.4599598,180306.2548031,849014.5484302,0,0,0,2,0,48,14,37,26,49
"female","non-hispanic other",12194.645389,0,12212.1579059,6144.5381674,0,397517.8926804,72453.5663822,322912.7896878,219326.7530782,1012211.0018286,1,0,3,1,0,52,11,52,40,49
"female","non-hispanic black",65137.8462917,24783.9819703,60959.175201,30594.8892597,4012.992945,1944607.3707107,549646.2831174,1711151.68266,1601182.3132123,5806587.6497004,6,3,9,5,1,247,71,241,211,49
"female","non-hispanic asian",4649.184406,19259.9642786,58378.6109253,6093.7554526,0,1077370.525344,267562.9554319,757401.0135468,539262.5351412,2641597.0294639,1,2,7,1,0,156,37,111,80,49
"female","hispanic",46429.5942408,69474.5990032,25840.4171409,20668.9893444,0,2187854.8270958,707705.3571415,1803222.2186035,1260454.2029678,5959236.6058086,7,9,5,4,0,334,99,265,179,49
"male","non-hispanic black",15627.2581089,60761.4626432,45795.8201966,13547.9548912,12860.2348862,1677186.7156281,343212.9328423,1251996.1484184,1147229.3250776,4419625.1219664,2,8,8,3,2,222,49,165,152,49
"male","non-hispanic asian",8137.9916504,7420.6439687,8130.3172341,16180.100424,0,1079983.5340022,144170.1906315,662083.8464626,392358.9646493,2278596.5357456,1,1,2,3,0,152,22,93,55,49
"male","hispanic",87405.2668377,56132.2728162,193632.8687207,66144.8335866,10020.092685,2130528.533355,615296.1349815,1484690.0571278,872786.7571446,5103301.4826089,14,12,23,11,1,295,87,206,119,50
"male","non-hispanic white",422768.1897752,737932.256113,930049.4735441,358986.8868427,104863.1985828,14449429.4325048,3361495.1027249,10372242.6578787,6415620.46064401,34598787.6537524,60,108,137,50,14,2054,487,1502,951,50
"female","non-hispanic white",508053.2871559,814777.3448852,1156619.0622907,414380.1827069,76277.9889832,15174479.6771214,3764462.93239821,11479951.9003765,7286806.207802,37705700.7176981,83,129,168,65,13,2254,545,1760,1098,50
"male","non-hispanic other",0,28487.5645105,44768.8989102,3137.093003,0,345367.2561147,41751.9063394,248665.4599598,180576.553698,816361.1761119,0,4,3,1,0,48,10,37,25,50
"female","non-hispanic other",4854.0399504,29375.4911633,10028.280655,10387.550237,0,373111.0893855,78503.6736038,335124.9475937,225471.2912456,1012211.0018286,1,5,2,2,0,48,11,55,41,50
"female","non-hispanic black",48749.9671521,85534.4590296,93772.4511534,79873.2421869,20946.8781805,1643146.0283309,579617.0472834,1696145.3749018,1645252.2370364,5564160.6875525,7,15,17,9,5,219,71,240,217,50
"female","non-hispanic asian",2869.9874798,63105.8510456,33449.0241117,7728.7985025,8749.4548807,924999.1900366,233844.5283585,779011.9467799,558107.3112327,2495962.9764077,1,11,6,2,2,137,33,112,82,50
"female","hispanic",80781.9515993,128845.1790242,136357.5549131,55554.2035604,6744.8222423,1989523.715362,723898.9036387,1611263.684804,1310612.9183614,5635299.2221661,12,21,19,9,1,301,100,242,185,50
"male","non-hispanic black",31190.6449014,77582.7973636,111716.0817354,58377.7196638,9258.5966293,1517527.5940312,315691.118599,1175009.4828346,1198084.6218022,4206312.817267,5,11,18,8,1,199,46,157,161,50
"male","non-hispanic asian",17724.0146059,64892.2122185,29870.3959513,40019.2567345,3017.7402261,1016249.4111339,129163.6059855,644561.111961,403243.8497243,2193217.9788047,2,9,4,6,1,144,19,92,57,50
"male","hispanic",32316.5159454,36412.2047967,31301.6378103,7354.8876204,0,1747318.8072867,606415.671282,1493740.6694188,944796.5250356,4792271.6730231,5,3,6,1,0,247,86,201,135,51
"male","non-hispanic white",180890.6164671,378700.5424636,389382.5869656,150460.1693363,31064.6446152,12412604.0082751,3339066.5441835,10341331.1055081,7539682.72679551,33632684.3847622,25,55,58,21,5,1774,487,1502,1113,51
"female","non-hispanic white",196129.2190239,337076.7694916,541836.2117855,206367.0672947,11267.7253185,12963216.6687519,3787598.13344071,11546120.8776133,8466869.17253821,36763804.8523441,29,53,78,31,2,1933,554,1764,1288,51
"male","non-hispanic other",0,5150.5381162,3339.4291952,0,0,277452.1963882,31846.8330432,264946.7943595,197458.8603066,771704.6840975,0,1,1,0,0,42,8,36,28,51
"female","non-hispanic other",0,4782.5947466,5014.2277612,0,0,358228.7687801,72970.1633172,289143.4039491,259089.7944785,979432.1305249,0,1,1,0,0,45,10,48,47,51
"female","non-hispanic black",41318.5458406,41892.7866195,53523.9972702,31433.7677311,0,1449624.1514823,521751.1974724,1581678.2803045,1771577.9836014,5324631.6128606,3,6,9,3,0,186,67,232,240,51
"female","non-hispanic asian",0,8971.9172868,16526.6702295,17311.0866732,0,804103.3643988,216662.7526816,715092.5019427,620282.0601688,2356140.6791919,0,1,3,2,0,118,30,103,95,51
"female","hispanic",21754.7552563,67160.545214,55738.3772018,47438.1248661,0,1661694.4393253,712684.4569013,1525798.8104604,1423568.0029397,5323745.7096267,4,9,9,7,0,255,99,230,207,51
"male","non-hispanic black",18489.7675653,33805.7273173,45419.3004323,10667.941391,2244.2840367,1293027.3457499,244887.4750856,1164745.6300448,1303636.7164325,4006297.1673128,2,7,5,1,1,169,38,157,177,51
"male","non-hispanic asian",33408.2254617,0,20714.4510961,12428.550921,0,873602.3412771,100161.766351,582278.665958,497131.6453297,2053174.4189158,3,0,4,1,0,126,14,84,71,51
"male","hispanic",21300.0976284,29362.940302,96474.3397523,56771.4675972,0,1559774.5121616,595069.5701442,1380962.4848707,889340.084586,4425146.6517625,4,4,13,7,0,223,85,192,127,52
"male","non-hispanic white",283920.9947277,459252.5800886,536187.3893195,221250.8815808,28446.0528281,11218102.9098749,3297755.3361123,10059407.0867505,7994297.7869572,32569563.1196949,39,69,79,31,4,1624,482,1472,1182,52
"female","non-hispanic white",298601.8959911,538963.3425594,623491.0069643,227874.4832935,30793.3651151,11703969.8023909,3682787.15940071,11444277.6227336,8777890.2772676,35608924.8617928,46,82,92,36,4,1763,539,1750,1349,52
"male","non-hispanic other",9521.7979965,13274.2616138,11719.1909775,0,0,263445.743976,31846.8330432,263135.6854385,202609.3984228,761037.6608805,1,2,2,0,0,40,8,36,29,52
"female","non-hispanic other",19241.266425,23636.9533801,7596.0993178,0,0,321959.1754688,67865.0943605,275845.178133,260123.7189737,925793.166936,1,3,2,0,0,41,9,45,47,52
"female","non-hispanic black",13222.0804964,39870.8752309,87259.1360305,13079.8240358,0,1241087.6585869,502696.3587763,1474595.3785841,1750969.8063055,4969349.2022528,3,7,12,2,0,166,63,224,244,52
"female","non-hispanic asian",5907.7823649,22843.8059145,18777.7109694,12216.9218376,12507.3967225,678410.3674417,187577.4692914,650675.7729823,602268.2451741,2118931.8548895,1,3,3,2,2,103,27,98,93,52
"female","hispanic",40123.6574785,97582.885803,89410.6609093,36449.0235707,0,1495830.6998144,641981.5785053,1459061.6398974,1434950.1256516,5031824.0438687,7,11,16,6,0,229,89,221,212,52
"male","non-hispanic black",42409.8248925,33914.0665941,45598.704768,11094.539742,11473.231302,1177477.273492,252709.3012599,1126114.1070052,1291582.9399787,3847883.6217358,6,3,7,3,1,154,39,148,180,52
"male","non-hispanic asian",6822.9113764,61038.8085584,35497.8915282,0,8594.1033507,765423.7208335,121141.4408917,577352.4615911,509560.1962507,1973477.819567,1,8,5,0,1,112,16,83,72,52
