ind,race,x,state,mean,se_mean,sd,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,n_eff,Rhat
"1,1,1",hispanic,0,lost_none,43.92435808526927,0.0031889981277867124,0.2356211455848221,43.46484813844054,43.53469592320961,43.619070021413286,43.76933511865516,43.924379734593515,44.08280344700513,44.23119755288619,44.309948253217485,44.38800238254281,5459.086776668788,0.9996093015278179
"1,1,2",hispanic,0,lost_mom,4.2686671036631205,0.0021745596135861853,0.1681674779425003,3.9399029119137485,3.993885304958767,4.052851535138957,4.156482022653196,4.266233524559777,4.382358114071366,4.480556874068254,4.544526608898705,4.596502655023291,5980.55358646039,0.9999364294113016
"1,1,3",hispanic,0,lost_dad,11.94001569799088,0.0033584948542170917,0.26149710691351175,11.430058384361438,11.507766213389804,11.61070299371832,11.761118785096844,11.93848828162563,12.114001245139514,12.279337290880234,12.374793739360301,12.447244980110577,6062.397409255242,1.0003517335607548
"1,1,4",hispanic,0,lost_both,17.796865975869732,0.0050836173949428765,0.39019197936507305,17.03345603751205,17.14472764969156,17.291579971446765,17.53452979573259,17.797724212027987,18.063966134851725,18.297566788108337,18.436192830698772,18.553626792853546,5891.297599995024,0.9997628269057006
"1,2,1",hispanic,5,lost_none,39.19714642379056,0.0032104581903585894,0.23688305700873394,38.736314863865026,38.80484772743698,38.88941796724829,39.04050373675684,39.19766354611533,39.356109921238854,39.50440884778206,39.58392063544092,39.66205992624686,5444.198619737424,0.9996132288594882
"1,2,2",hispanic,5,lost_mom,4.285385017840915,0.002187223957251983,0.1690986427353285,3.9551285282968003,4.009228210966971,4.068779269029669,4.172232972167317,4.282814878806629,4.400198876316759,4.498095411342523,4.562572110279494,4.613405074676984,5977.144223657325,0.9999359370287423
"1,2,3",hispanic,5,lost_dad,11.98312232789043,0.003379742782743511,0.2630022058167378,11.47101700413779,11.549233274758507,11.65113403209915,11.803732938838785,11.9815846764963,12.157047292187507,12.324505130274899,12.422390649108864,12.493488937909236,6055.520564255671,1.000349343891803
"1,2,4",hispanic,5,lost_both,17.894272287648707,0.005112444538026838,0.39231916849134,17.124211898724834,17.239708871777985,17.387256245531464,17.63057546759363,17.895562601376263,18.1618775840534,18.39736713536559,18.53747270004983,18.656729464939083,5888.732637996275,0.9997613838565301
"1,3,1",hispanic,10,lost_none,34.35261319771071,0.0032078380996340802,0.23686594316114623,33.89382958109875,33.96181645157487,34.04819418710902,34.197106036484186,34.35230383201659,34.511971649866105,34.65973391262083,34.73964929661023,34.81490266263407,5452.307752124909,0.9996050523528495
"1,3,2",hispanic,10,lost_mom,4.26166978051876,0.002190111829375312,0.16923727476001454,3.9311312814979202,3.984531808733922,4.044855432869605,4.148043429792818,4.258778897493999,4.376506609667725,4.475102751505421,4.538876421905886,4.591616325429565,5971.170396497992,0.9999385423757597
