"x","pr_lost_none","se_pr_lost_none","pr_lost_mom","se_pr_lost_mom","pr_lost_dad","se_pr_lost_dad","pr_lost_both","se_pr_lost_both","sex","race"
"[26,27)",0.900512576792272,0.0142624567220533,0.0179461200001079,0.00597668891294388,0.075623175230789,0.0125314230380763,0.00591812797683108,0.00419963661320251,"all","all"
"[27,28)",0.912846766702245,0.0160481453472895,0.0404233036591827,0.00994558666608838,0.0450452194245622,0.0114049055396953,0.0016847102140099,0.00171646228270743,"all","all"
"[28,29)",0.905103249379875,0.0142290701603647,0.0350184423979974,0.00850804774518073,0.0589109732393999,0.0113336455682933,0.000967334982727413,0.000931920168233223,"all","all"
"[29,30)",0.882405740789715,0.0140653764256872,0.0316305232343745,0.00927329663501733,0.0789706944123589,0.0112402038292459,0.00699304156355054,0.00363717557225187,"all","all"
"[30,31)",0.891436583091849,0.0146324556196031,0.0263914628180551,0.00744829386323765,0.0653823666398232,0.0112251673181655,0.0167895874502725,0.00668335935891995,"all","all"
"[31,32)",0.858668191071376,0.0166156955467455,0.0460133058850198,0.0113463619116676,0.0800684897077504,0.0138038335757258,0.0152500133358529,0.00508023982487456,"all","all"
"[32,33)",0.848991443983138,0.0198459857590535,0.0551489109792043,0.0152836185726895,0.0821763458878295,0.0123195439919616,0.0136832991498283,0.00539369209142669,"all","all"
"[33,34)",0.845477056107422,0.0176408617376156,0.042657914910993,0.0102044381139168,0.0960242330104784,0.0143455654862077,0.0158407959711061,0.0054472027659918,"all","all"
"[34,35)",0.819826616332668,0.0193731344152923,0.0461889295274243,0.00982756671490439,0.116343555124486,0.0170462494380811,0.017640899015421,0.00643019446384446,"all","all"
"[35,36)",0.81120989925469,0.0190842131804975,0.0539785023406509,0.0108188241825836,0.114693312120905,0.0161877255958871,0.0201182862837548,0.00686610210233948,"all","all"
"[36,37)",0.833919705521367,0.0168176267287947,0.0441444653474845,0.00932333966139488,0.11192648099201,0.015185190188341,0.010009348139139,0.00396792687416286,"all","all"
"[37,38)",0.797703132729343,0.0203182543624714,0.0487076527548192,0.0098587286163476,0.120750923150009,0.0178340476580854,0.032838291365829,0.0081621498511369,"all","all"
"[38,39)",0.790001620226869,0.0197264727219801,0.0648597759086492,0.0118326348340837,0.120474362951505,0.0153695989769043,0.024664240912978,0.0072676109521948,"all","all"
"[39,40)",0.766086930900424,0.0175524186331814,0.0524101778529194,0.0102366502903156,0.159179167450179,0.0159238752764054,0.0223237237964786,0.00571465705664568,"all","all"
"[40,41)",0.758524233919194,0.0215988497888773,0.0665358786990158,0.0119079705415046,0.155112638690636,0.0183058685141568,0.0198272486911545,0.00648037291685289,"all","all"
"[41,42)",0.725077232866244,0.0201952022510375,0.0672769406028275,0.0103064522200225,0.170773506278771,0.0185547063982228,0.0368723202521565,0.00922020559668378,"all","all"
"[42,43)",0.680552904226199,0.0223961113893619,0.0626461054342007,0.00992792656098756,0.207576061159315,0.0208963862300883,0.0492249291802841,0.0101804786946962,"all","all"
"[43,44)",0.732807236708088,0.0201051739330286,0.0646596158148728,0.0101664198286653,0.156921657502191,0.0162220343824768,0.0456114899748488,0.010703585342898,"all","all"
"[44,45)",0.686658309523849,0.0186188654398683,0.0621615442906081,0.0106099594758139,0.196943229813812,0.0173532134091216,0.0542369163717318,0.00805241149229068,"all","all"
"[45,46)",0.632160994176517,0.0242070889187281,0.083779530611076,0.0144270722141308,0.214099543862222,0.0217669841920706,0.0699599313501861,0.0124672516339649,"all","all"
"[46,47)",0.582854305000051,0.025271494658271,0.0923787073050636,0.0168962825459659,0.246019108004273,0.0229768059023481,0.0787478796906128,0.0124764975136597,"all","all"
"[47,48)",0.549822190719483,0.0246844188560291,0.100237278542501,0.0144789990134654,0.232799145043351,0.019445768188739,0.117141385694665,0.0161323913777372,"all","all"
