"x","race","name","value"
"[25,30)","all","se_mx_lost_none_to_lost_dad",0.00594623726840116
"[25,30)","all","se_mx_lost_none_to_lost_both",0.00119955706509194
"[25,30)","all","se_mx_lost_dad_to_lost_both",0.0173051068592013
"[25,30)","all","se_mx_lost_mom_to_lost_both",0.0309005823005595
"[25,30)","all","se_Lx_lost_mom",1894.76533248494
"[25,30)","all","se_Lx_lost_dad",2916.0994682092
"[25,30)","all","se_Lx_lost_both",588.275839275712
"[25,30)","all","se_Lx_lost_none",3373.53926446933
"[25,30)","all","se_dx_lost_mom_to_dead",2.66495136884657
"[25,30)","all","se_dx_lost_dad_to_dead",4.10143838725667
"[25,30)","all","se_dx_lost_both_to_dead",0.827398768733613
"[25,30)","all","se_dx_lost_none_to_dead",4.74481875225922
"[30,35)","all","se_pr_lost_none",0.00781078094278487
"[30,35)","all","se_pr_lost_mom",0.00514313188979102
"[30,35)","all","se_pr_lost_dad",0.00632900435163575
"[30,35)","all","se_pr_lost_both",0.00283885430841441
"[30,35)","all","se_mx_lost_none_to_lost_mom",0.00514313188979102
"[30,35)","all","se_mx_lost_none_to_lost_dad",0.00632900435163575
"[30,35)","all","se_mx_lost_none_to_lost_both",0.00283885430841441
"[30,35)","all","se_mx_lost_dad_to_lost_both",0.025512180001609
"[30,35)","all","se_mx_lost_mom_to_lost_both",0.0399239263642221
"[30,35)","all","se_Lx_lost_mom",2502.26501515011
"[30,35)","all","se_Lx_lost_dad",3079.22225390849
"[30,35)","all","se_Lx_lost_both",1381.17512272122
"[30,35)","all","se_Lx_lost_none",3800.14440868751
"[30,35)","all","se_dx_lost_mom_to_dead",4.47146787044004
"[30,35)","all","se_dx_lost_dad_to_dead",5.50247207667163
"[30,35)","all","se_dx_lost_both_to_dead",2.46811594587575
"[30,35)","all","se_dx_lost_none_to_dead",6.79073700171571
"[35,40)","all","se_pr_lost_none",0.00838352933570271
"[35,40)","all","se_pr_lost_mom",0.00460667235068811
"[35,40)","all","se_pr_lost_dad",0.00715723952432648
"[35,40)","all","se_pr_lost_both",0.00268606677028998
"[35,40)","all","se_mx_lost_none_to_lost_mom",0.00460667235068811
"[35,40)","all","se_mx_lost_none_to_lost_dad",0.00715723952432648
"[35,40)","all","se_mx_lost_none_to_lost_both",0.00268606677028998
"[35,40)","all","se_mx_lost_dad_to_lost_both",0.0160709375655057
"[35,40)","all","se_mx_lost_mom_to_lost_both",0.0284517312193267
"[35,40)","all","se_Lx_lost_mom",2219.05933604514
"[35,40)","all","se_Lx_lost_dad",3447.68153185358
"[35,40)","all","se_Lx_lost_both",1293.89309464612
"[35,40)","all","se_Lx_lost_none",4038.39205942669
"[35,40)","all","se_dx_lost_mom_to_dead",4.89243287692365
"[35,40)","all","se_dx_lost_dad_to_dead",7.60121651621299
"[35,40)","all","se_dx_lost_both_to_dead",2.8526885300657
"[35,40)","all","se_dx_lost_none_to_dead",8.90357538463075
"[40,45)","all","se_pr_lost_none",0.00920539180563697
"[40,45)","all","se_pr_lost_mom",0.00450913536593279
"[40,45)","all","se_pr_lost_dad",0.00845604051980733
"[40,45)","all","se_pr_lost_both",0.00425414814186302
"[40,45)","all","se_mx_lost_none_to_lost_mom",0.00450913536593279
"[40,45)","all","se_mx_lost_none_to_lost_dad",0.00845604051980733
"[40,45)","all","se_mx_lost_none_to_lost_both",0.00425414814186302
"[40,45)","all","se_mx_lost_dad_to_lost_both",0.0184862565108025
"[40,45)","all","se_mx_lost_mom_to_lost_both",0.0295800338085328
"[40,45)","all","se_Lx_lost_mom",2145.44199229259
"[40,45)","all","se_Lx_lost_dad",4023.37542509536
"[40,45)","all","se_Lx_lost_both",2024.11933204369
"[40,45)","all","se_Lx_lost_none",4379.91599997889
"[40,45)","all","se_dx_lost_mom_to_dead",5.9643644062745
"[40,45)","all","se_dx_lost_dad_to_dead",11.1850505698714
"[40,45)","all","se_dx_lost_both_to_dead",5.62708539380869
"[40,45)","all","se_dx_lost_none_to_dead",12.1762392954895
"[45,50)","all","se_pr_lost_none",0.0116889845624162
"[45,50)","all","se_pr_lost_mom",0.00621971389482785
"[45,50)","all","se_pr_lost_dad",0.00990058497346196
"[45,50)","all","se_pr_lost_both",0.00714851963601777
"[45,50)","all","se_mx_lost_none_to_lost_mom",0.00621971389482785
"[45,50)","all","se_mx_lost_none_to_lost_dad",0.00990058497346196
"[45,50)","all","se_mx_lost_none_to_lost_both",0.00714851963601777
"[45,50)","all","se_mx_lost_dad_to_lost_both",0.0176713757949269
"[45,50)","all","se_mx_lost_mom_to_lost_both",0.0252107995362754
"[45,50)","all","se_Lx_lost_mom",2911.56605436686
"[45,50)","all","se_Lx_lost_dad",4634.65162779876
"[45,50)","all","se_Lx_lost_both",3346.35764010177
"[45,50)","all","se_Lx_lost_none",5471.83539909294
"[45,50)","all","se_dx_lost_mom_to_dead",11.1360742914189
"[45,50)","all","se_dx_lost_dad_to_dead",17.7264825452279
"[45,50)","all","se_dx_lost_both_to_dead",12.7990526713068
"[45,50)","all","se_dx_lost_none_to_dead",20.9285190089789
"[50,55)","all","se_pr_lost_none",0.0101813240525252
"[50,55)","all","se_pr_lost_mom",0.00581663221343112
"[50,55)","all","se_pr_lost_dad",0.0102266746488123
"[50,55)","all","se_pr_lost_both",0.00831977352822839
"[50,55)","all","se_mx_lost_none_to_lost_mom",0.00581663221343112
"[50,55)","all","se_mx_lost_none_to_lost_dad",0.0102266746488123
"[50,55)","all","se_mx_lost_none_to_lost_both",0.00831977352822839
"[50,55)","all","se_mx_lost_dad_to_lost_both",0.0153089516884322
"[50,55)","all","se_mx_lost_mom_to_lost_both",0.0150706196335461
"[50,55)","all","se_Lx_lost_mom",2660.48785773156
"[50,55)","all","se_Lx_lost_dad",4677.61115535393
"[50,55)","all","se_Lx_lost_both",3805.40760335804
"[50,55)","all","se_Lx_lost_none",4656.86810227175
"[50,55)","all","se_dx_lost_mom_to_dead",14.9227376900615
"[50,55)","all","se_dx_lost_dad_to_dead",26.2368287397368
"[50,55)","all","se_dx_lost_both_to_dead",21.3446189215449
"[50,55)","all","se_dx_lost_none_to_dead",26.1204804770913
"[55,60)","all","se_pr_lost_none",0.00777072589815538
"[55,60)","all","se_pr_lost_mom",0.00594290382920006
"[55,60)","all","se_pr_lost_dad",0.0100787503637109
"[55,60)","all","se_pr_lost_both",0.0101953853296301
"[55,60)","all","se_mx_lost_none_to_lost_mom",0.00594290382920006
"[55,60)","all","se_mx_lost_none_to_lost_dad",0.0100787503637109
"[55,60)","all","se_mx_lost_none_to_lost_both",0.0101953853296301
"[55,60)","all","se_mx_lost_dad_to_lost_both",0.012810484268729
"[55,60)","all","se_mx_lost_mom_to_lost_both",0.0115947904580358
"[55,60)","all","se_Lx_lost_mom",2625.32006330997
"[55,60)","all","se_Lx_lost_dad",4452.35970552541
"[55,60)","all","se_Lx_lost_both",4503.88403183314
"[55,60)","all","se_Lx_lost_none",3432.77347122337
"[55,60)","all","se_dx_lost_mom_to_dead",22.2230637543468
"[55,60)","all","se_dx_lost_dad_to_dead",37.6887660198001
"[55,60)","all","se_dx_lost_both_to_dead",38.1249141315822
"[55,60)","all","se_dx_lost_none_to_dead",29.0580736312379
"[60,Inf)","all","se_pr_lost_none",0.00178300862333368
"[60,Inf)","all","se_pr_lost_mom",0.00167221931100582
"[60,Inf)","all","se_pr_lost_dad",0.00302773739723292
"[60,Inf)","all","se_pr_lost_both",0.00336571474125965
"[60,Inf)","all","se_mx_lost_none_to_lost_mom",0.00167221931100582
"[60,Inf)","all","se_mx_lost_none_to_lost_dad",0.00302773739723292
"[60,Inf)","all","se_mx_lost_none_to_lost_both",0.00336571474125965
"[60,Inf)","all","se_mx_lost_dad_to_lost_both",0.00317860028299104
"[60,Inf)","all","se_mx_lost_mom_to_lost_both",0.00194755968194698
"[60,Inf)","all","se_Lx_lost_mom",3207.85791744693
