"race","sex","age","w","s_lost_none","s_lost_mom","s_lost_dad","s_lost_both","s_lost_none0","s_lost_mom0","s_lost_dad0","i_lost_none_to_lost_mom","i_lost_none_to_lost_dad","i_lost_dad_to_lost_both","i_lost_mom_to_lost_both","i_lost_none_to_lost_both"
"non-hispanic black","male",32,6812.4393378,1,0,0,0,1,0,0,0,0,0,0,0
"hispanic","male",63,3237.107828,0,0,0,1,1,1,1,0,0,1,1,1
"hispanic","male",22,5600.1070462,1,0,0,0,1,0,0,0,0,0,0,0
"hispanic","female",20,5662.1475307,1,0,0,0,1,0,0,0,0,0,0,0
"hispanic","male",2,4020.0379504,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",45,6390.1228063,0,1,0,0,1,1,0,1,0,0,0,0
"hispanic","female",45,6390.1228063,1,0,0,0,1,0,0,0,0,0,0,0
"hispanic","female",13,6180.7196605,1,0,0,0,1,0,0,0,0,0,0,0
"hispanic","male",8,4808.7736524,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic black","female",54,7333.3409506,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic asian","male",27,6819.398653,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic black","female",40,13342.031339,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic black","male",37,12385.402875,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic black","male",1,12381.600189,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",60,3948.6340025,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",60,3948.6340025,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic black","male",24,2425.8021468,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic black","female",42,2535.2908702,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic black","male",21,2425.8021468,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic black","male",10,2903.6513881,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",22,2930.713618,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",22,2965.6968588,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",24,2930.713618,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",22,2965.6968588,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",21,2965.6968588,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",20,2965.6968588,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",20,5954.7305213,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",24,4149.9128136,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic white","female",61,3473.7984315,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic white","male",64,3473.7984315,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",67,4162.6231355,0,0,0,1,1,1,1,0,0,1,1,1
"hispanic","male",28,7880.7877601,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",70,3082.4979144,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",89,3350.5897346,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",56,5849.3537549,0,1,0,0,1,1,0,1,0,0,0,0
"non-hispanic white","male",59,7470.7235199,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",59,7470.7235199,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic white","male",70,2057.4660936,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic other","female",66,2057.4660936,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",20,2888.9405002,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",54,3685.9012366,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",51,3685.9012366,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic white","male",21,6555.0164007,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",59,9596.4066286,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic white","female",56,9596.4066286,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",15,9230.1802152,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic white","female",30,10746.561511,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",30,9660.7496227,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",46,7491.7999337,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic white","male",51,9146.3548674,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",64,3068.5181926,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",74,3068.5181926,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic white","male",76,2832.5883018,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",68,2832.5883018,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic other","male",54,6250.3305012,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic other","female",49,10901.081155,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic black","male",24,5101.958023,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic black","female",21,5299.5671301,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic black","female",43,4883.6513767,1,0,0,0,1,0,0,0,0,0,0,0
"hispanic","female",32,18119.524963,0,0,0,1,1,1,1,0,0,1,1,1
"hispanic","female",3,26041.002383,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",73,3353.170476,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",70,3353.170476,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",72,3424.8776797,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",51,3969.6399366,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",54,3969.6399366,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic white","male",36,3476.2593302,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",32,3476.2593302,1,0,0,0,1,0,0,0,0,0,0,0
"hispanic","female",85,4224.8724273,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",28,7059.4111778,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",28,7059.4111778,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",73,2549.1240303,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",68,2545.5886733,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",75,2545.5886733,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",52,4236.2231351,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic white","male",21,7008.1646925,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",18,5991.8840785,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",16,6802.3720239,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",88,2077.6616627,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",62,3058.8195066,0,1,0,0,1,1,0,1,0,0,0,0
"non-hispanic white","male",59,3058.8195066,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",68,4222.0086045,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",63,3044.9463641,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",72,2553.9703951,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic other","female",16,3145.5802103,1,0,0,0,1,0,0,0,0,0,0,0
