ind,race,x,transition,mean,se_mean,sd,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,n_eff,Rhat,svy_mean,svy_se
"1,3,1",hispanic,10,lost_none_to_lost_mom,0.0013695661192903393,3.3087465523920387e-6,1.693554589629475e-4,0.0010644769736995736,0.0011074309735901696,0.0011588511768199478,0.0012522212022604649,0.0013596763780733619,0.001477177170968981,0.0015914380352073719,0.0016681618892029012,0.0017336535605605669,2619.8196588862656,1.0010624978783311,0.00105631647125102,1.8467376762335e-4
"1,3,2",hispanic,10,lost_none_to_lost_dad,0.0031260909240696214,5.404756864633635e-6,3.8038981304567876e-4,0.002438551291656455,0.0025375275287278422,0.0026632460712725753,0.0028651490876730012,0.003105027303660835,0.0033606550022657004,0.003610002904532801,0.0037905129000718146,0.003947582790260515,4953.423180308573,0.9997317051267,0.00267253923036154,3.2088128799528e-4
"1,3,3",hispanic,10,lost_none_to_lost_both,5.469649067200515e-5,4.826707813791707e-7,1.79111320845718e-5,2.5826350320505043e-5,2.918524833580289e-5,3.3475860308662905e-5,4.1770173132247845e-5,5.233004147055649e-5,6.58645976975211e-5,7.805195347911237e-5,8.654757171220394e-5,9.446190332308189e-5,1377.0320683080454,1.0010638691780778,5.05579427686967e-5,3.48451181520581e-5
"1,3,4",hispanic,10,lost_mom_to_lost_both,0.00741871942589468,4.2560786681525693e-5,0.0015994415466967856,0.00468558262477418,0.005038034339123817,0.005500694007270933,0.006263489034764912,0.007293019559305571,0.00842343283911128,0.009548415082287648,0.010214092909226107,0.010856757845715591,1412.2690851721034,1.0043639095217916,0.00578497029347447,0.00420017680923542
"1,3,5",hispanic,10,lost_dad_to_lost_both,0.002060867376059305,1.0368376084209546e-5,4.184475496561346e-4,0.0013365337361047152,0.00144520045600464,0.0015621119783630875,0.0017687896179831878,0.002024143328943006,0.0023141355794058555,0.002612985717078303,0.002808664102499931,0.002983430780562707,1628.7730501464089,1.0006715138953823,0.00237137266273746,0.00188744446688377
"1,4,1",hispanic,15,lost_none_to_lost_mom,0.0019051006456007047,3.874642124357111e-6,2.2465918895682305e-4,0.001508721508086051,0.0015569049533265477,0.001627196111381298,0.0017475169021674624,0.001891767720091048,0.0020459591844716055,0.002203880906064377,0.002292833236686084,0.002373743246596782,3361.9030251495974,0.9996797404886454,0.00176881136077382,2.9924830299243e-4
"1,4,2",hispanic,15,lost_none_to_lost_dad,0.004285338172790392,6.91056235404348e-6,4.971065985088335e-4,0.00339008666799957,0.0035333138423562617,0.0036824531843388138,0.003943264592861939,0.0042504765041356495,0.0045878464025207516,0.004945299587352376,0.005174585381213963,0.0053551917810979715,5174.546284629325,0.9997181955085407,0.00424143852673889,4.1456916978228e-4
"1,4,3",hispanic,15,lost_none_to_lost_both,8.184779197977781e-5,5.676558538900061e-7,2.265078270284281e-5,4.375646719780304e-5,4.8512613900970144e-5,5.444774217861233e-5,6.5861378355765e-5,7.968761532930609e-5,9.557157332628598e-5,1.1151261331103847e-4,1.2206428313303106e-4,1.3187443066345588e-4,1592.194743670868,1.001154528842098,9.05793912142708e-5,5.46507539703508e-5
"1,4,4",hispanic,15,lost_mom_to_lost_both,0.009825484288906472,4.943173740845528e-5,0.0019105137262523917,0.006524290499034008,0.006974384209160588,0.007498928565153538,0.008459332133133228,0.009679508597062559,0.011059805074938712,0.012289601250380791,0.013176253785758827,0.01405909784385043,1493.7866513765077,1.0046510329099083,0.0257796157637491,0.00654448613053584
"1,4,5",hispanic,15,lost_dad_to_lost_both,0.002983262959225533,1.3543786390148704e-5,5.57307100236155e-4,0.002024067943371018,0.0021483399407060235,0.002297180191067413,0.0025872529806236144,0.002934934630762322,0.0033365370493304994,0.003712444954162798,0.003967541601820866,0.004199776073591081,1693.202734293415,1.0010217874956064,0.00299281310836733,0.00127859034121938
"1,5,1",hispanic,20,lost_none_to_lost_mom,0.002645334882691118,4.98148319371948e-6,3.042888968714034e-4,0.0021047853803690896,0.0021887343667823106,0.0022766618037511482,0.0024294641200941964,0.0026218496796137454,0.002834791925231212,0.0030357444191439595,0.003174693795259528,0.003316529505574294,3731.2545033726296,1.0001674270799161,0.00236336800491093,3.3560775319507e-4
"1,5,2",hispanic,20,lost_none_to_lost_dad,0.0058438548451306424,8.621911183087096e-6,6.578330403368388e-4,0.0046630424706224855,0.004840153914964632,0.005046851556746707,0.005399445931459141,0.0058006162991613725,0.006241178668964793,0.006698133690390235,0.006984172846247882,0.007290841450417838,5821.357563890265,0.9994292190806707,0.0055992738136378,6.2023205385724e-4
"1,5,3",hispanic,20,lost_none_to_lost_both,1.232141606480651e-4,6.596951657044787e-7,2.9094171117104142e-5,7.299971790642109e-5,7.931098723552918e-5,8.753959233787548e-5,1.0240476805099336e-4,1.2112982607185176e-4,0.00014160450838856931,1.6227030840360179e-4,1.7437347675086626e-4,1.8529744537583e-4,1945.02583612983,1.0009322651472512,1.2042929845581e-4,6.56981255293212e-5
"1,5,4",hispanic,20,lost_mom_to_lost_both,0.013033706770057435,5.669279685457432e-5,0.0023246862472443754,0.008942194016881809,0.009476865365619482,0.010157353085054697,0.011401579449396217,0.012902677359220864,0.014479615886888439,0.016061009119551852,0.016986868263916582,0.017922623410277123,1681.4072942021924,1.0042871202478307,0.0201658510115193,0.00693897942155484
"1,5,5",hispanic,20,lost_dad_to_lost_both,0.0043093340543032405,1.6870220916231237e-5,7.14843185971223e-4,0.00302593142361531,0.0031987572773231675,0.003418874856301578,0.0038141312299373367,0.004273852968723252,0.0047489696746891435,0.005227185500388383,0.005558543513533247,0.005862115909901702,1795.4777352282229,1.0002871161126001,0.00405529531605283,0.0014123938783316
"1,6,1",hispanic,25,lost_none_to_lost_mom,0.003661415993915645,6.3352551455295755e-6,4.134129693483186e-4,0.0029315443346112123,0.003028256151737886,0.003156305928335281,0.003375673198726638,0.0036338246505245816,0.003919185913076925,0.004204799261499164,0.004375000075333026,0.004532523508590534,4258.336462781305,1.0008498152816037,0.00450815099673431,5.8170539358703e-4
"1,6,2",hispanic,25,lost_none_to_lost_dad,0.008008970837505076,1.15448882396715e-5,8.893500326733019e-4,0.006402418989619448,0.00663978809893137,0.006919299478528044,0.007391440144410137,0.007948298349661594,0.008574336928680728,0.009170107659809574,0.009538150812838061,0.009889300059209002,5934.25199603671,0.9997184521285398,0.00703874200588988,6.5504137382265e-4
"1,6,3",hispanic,25,lost_none_to_lost_both,1.86067814235981e-4,8.05322301815651e-7,3.847962798610305e-5,1.1660703714603872e-4,1.260111780845514e-4,1.378142923727703e-4,1.5943115266172958e-4,1.8420370616248707e-4,2.1078506411912826e-4,2.358580301959786e-4,2.524550617816313e-4,2.6648868451259326e-4,2283.086032051573,1.0001462228166846,NA,NA
"1,6,4",hispanic,25,lost_mom_to_lost_both,0.017325166554643525,6.539082042382741e-5,0.00272697799636744,0.012500285750034994,0.01310870953302344,0.013987391953833596,0.015432976860484452,0.01714926979328364,0.019062167649659283,0.02091248088058602,0.022033747103778367,0.023041509988239492,1739.1205819560016,1.0044572182916436,0.0130146196687978,0.00381254925714079
"1,6,5",hispanic,25,lost_dad_to_lost_both,0.006252918517177926,2.2265027469568793e-5,9.578582798524963e-4,0.004566959365780927,0.004821856896300383,0.005098773727811203,0.005581378725968745,0.006172227334745947,0.006838599801564871,0.007507417570952849,0.00793926152962556,0.008350807178383995,1850.785314458408,1.0005626379785182,0.00890700012405194,0.00184052798110887
"1,7,1",hispanic,30,lost_none_to_lost_mom,0.005076739425077841,8.404753064331067e-6,5.693658176338371e-4,0.004062930223027708,0.004209982460007115,0.004389269564541973,0.004681663683051233,0.005037967105771382,0.005426405089488404,0.0058205687789676126,0.006068671240275923,0.006319700899776249,4589.156457975469,1.000914826364755,0.00538191492078173,7.2606492027594e-4
"1,7,2",hispanic,30,lost_none_to_lost_dad,0.010932725574536981,1.634033730831274e-5,0.0011903382541314223,0.008785542341996517,0.00913493114976439,0.009504529350571373,0.010113029491820982,0.010857776442892533,0.011685329780751447,0.012526040089195164,0.01294638053011429,0.0134076208320071,5306.629256886667,0.9999048597377117,0.00914144887244414,9.0574094472026e-4
"1,7,3",hispanic,30,lost_none_to_lost_both,2.8293845411202234e-4,1.262088493697728e-6,5.7099023150168045e-5,1.7497024850075718e-4,1.935315744086808e-4,2.1385794288823127e-4,2.4542800703713775e-4,2.8011461089111583e-4,3.1863252060958e-4,3.559575920677989e-4,3.8019876189689545e-4,4.004152663223064e-4,2046.8109991140184,1.000929257773582,2.2706381099106e-4,1.3957357057709e-4
"1,7,4",hispanic,30,lost_mom_to_lost_both,0.02302433920385845,7.468639019375194e-5,0.003341166252361352,0.017058466068655066,0.017920213941362492,0.018887115662722487,0.020689681387815455,0.02285030615848809,0.025150655444266718,0.027403352807820393,0.028827260925495563,0.030302203419068516,2001.304785112095,1.0026892010264405,0.0273776151535369,0.00598716502644275
