"race","x","name","value"
"all","[15,20)","dx_lost_none_to_lost_mom",0
"all","[15,20)","dx_lost_none_to_lost_dad",1447.4890110139
"all","[15,20)","dx_lost_none_to_lost_both",0
"all","[15,20)","dx_lost_mom_to_lost_both",0
"all","[15,20)","dx_lost_dad_to_lost_both",0
"all","[15,20)","ex_lost_none",31.7820354207176
"all","[15,20)","ex_lost_mom",3.038377238051
"all","[15,20)","ex_lost_dad",8.77584073238913
"all","[15,20)","ex_lost_both",18.9693872723067
"all","[15,20)","ex",62.5656406634643
"all","[15,20)","lx_lost_mom",-2.09783521275516
"all","[15,20)","lx_lost_dad",1151.4909548751
"all","[15,20)","lx_lost_both",224.572155110977
"all","[15,20)","lx_lost_none",97867.685401954
"all","[20,25)","lx",98951.671875
"all","[20,25)","dx",536.829673767091
"all","[20,25)","Lx",493497.6640625
"all","[20,25)","pr_lost_none",0.942495431675651
"all","[20,25)","pr_lost_mom",0.0141075865477437
"all","[20,25)","pr_lost_dad",0.0410648992640743
"all","[20,25)","pr_lost_both",0.00233208251253018
"all","[20,25)","mx_lost_none_to_lost_mom",0.00158133353005132
"all","[20,25)","mx_lost_none_to_lost_dad",0.00227102742466553
"all","[20,25)","mx_lost_none_to_lost_both",0
"all","[20,25)","mx_lost_dad_to_lost_both",0
"all","[20,25)","mx_lost_mom_to_lost_both",0
"all","[20,25)","Lx_lost_mom",6962.06100687107
"all","[20,25)","Lx_lost_dad",20265.4318617826
"all","[20,25)","Lx_lost_both",1150.87727233465
"all","[20,25)","Lx_lost_none",465119.293921512
"all","[20,25)","dx_lost_mom_to_dead",7.57337108406626
"all","[20,25)","dx_lost_dad_to_dead",22.0448564752115
"all","[20,25)","dx_lost_both_to_dead",1.25193109439951
"all","[20,25)","dx_lost_none_to_dead",505.959515113413
"all","[20,25)","dx_lost_none_to_lost_mom",734.708644205782
"all","[20,25)","dx_lost_none_to_lost_dad",1055.14962430223
"all","[20,25)","dx_lost_none_to_lost_both",0
"all","[20,25)","dx_lost_mom_to_lost_both",0
"all","[20,25)","dx_lost_dad_to_lost_both",0
"all","[20,25)","ex_lost_none",27.075926684829
"all","[20,25)","ex_lost_mom",2.98689306605547
"all","[20,25)","ex_lost_dad",8.65982556901756
"all","[20,25)","ex_lost_both",19.017980840209
"all","[20,25)","ex",57.740626160111
"all","[20,25)","lx_lost_mom",-5.59387699014244
"all","[20,25)","lx_lost_dad",2590.77466744779
"all","[20,25)","lx_lost_both",224.167308341099
"all","[20,25)","lx_lost_none",96142.3522491016
"all","[25,30)","lx",98414.84375
"all","[25,30)","dx",689.753570556641
"all","[25,30)","Lx",490410.8828125
"all","[25,30)","pr_lost_none",0.901710085056428
"all","[25,30)","pr_lost_mom",0.0307191998476234
"all","[25,30)","pr_lost_dad",0.0644569514902492
"all","[25,30)","pr_lost_both",0.00311376360569981
"all","[25,30)","mx_lost_none_to_lost_mom",0.00149481306868585
"all","[25,30)","mx_lost_none_to_lost_dad",0.00280417304391757
"all","[25,30)","mx_lost_none_to_lost_both",0
"all","[25,30)","mx_lost_dad_to_lost_both",0.00746612967445802
"all","[25,30)","mx_lost_mom_to_lost_both",0
"all","[25,30)","Lx_lost_mom",15065.0299165666
"all","[25,30)","Lx_lost_dad",31610.3904837356
"all","[25,30)","Lx_lost_both",1527.02355874068
"all","[25,30)","Lx_lost_none",442208.438853457
"all","[25,30)","dx_lost_mom_to_dead",21.1886777795413
"all","[25,30)","dx_lost_dad_to_dead",44.4594124375956
"all","[25,30)","dx_lost_both_to_dead",2.14772956490077
"all","[25,30)","dx_lost_none_to_dead",621.957750774604
"all","[25,30)","dx_lost_none_to_lost_mom",660.089242907286
"all","[25,30)","dx_lost_none_to_lost_dad",1238.28490686656
"all","[25,30)","dx_lost_none_to_lost_both",0
"all","[25,30)","dx_lost_mom_to_lost_both",0
"all","[25,30)","dx_lost_dad_to_lost_both",235.675334673315
"all","[25,30)","ex_lost_none",22.4975098749496
"all","[25,30)","ex_lost_mom",2.93244383260185
"all","[25,30)","ex_lost_dad",8.50114428331223
"all","[25,30)","ex_lost_both",19.1100249808918
"all","[25,30)","ex",53.0411229717554
"all","[25,30)","lx_lost_mom",721.541396131573
"all","[25,30)","lx_lost_dad",3623.8794352748
"all","[25,30)","lx_lost_both",222.915377246699
"all","[25,30)","lx_lost_none",93846.5344654802
"all","[30,35)","lx",97725.09375
"all","[30,35)","dx",869.405639648438
"all","[30,35)","Lx",486525.5390625
"all","[30,35)","pr_lost_none",0.852958869164001
"all","[30,35)","pr_lost_mom",0.0432325624485032
"all","[30,35)","pr_lost_dad",0.0879687236412906
"all","[30,35)","pr_lost_both",0.0158398447462053
"all","[30,35)","mx_lost_none_to_lost_mom",0.00305121728544685
"all","[30,35)","mx_lost_none_to_lost_dad",0.00808561209138098
"all","[30,35)","mx_lost_none_to_lost_both",0
"all","[30,35)","mx_lost_dad_to_lost_both",0.00756402670762485
"all","[30,35)","mx_lost_mom_to_lost_both",0
"all","[30,35)","Lx_lost_mom",21033.7457503112
"all","[30,35)","Lx_lost_dad",42799.030690219
"all","[30,35)","Lx_lost_both",7706.48900381385
"all","[30,35)","Lx_lost_none",414986.273618156
"all","[30,35)","dx_lost_mom_to_dead",37.586633609182
"all","[30,35)","dx_lost_dad_to_dead",76.4805044464129
"all","[30,35)","dx_lost_both_to_dead",13.7712503535066
"all","[30,35)","dx_lost_none_to_dead",741.567251239337
"all","[30,35)","dx_lost_none_to_lost_mom",1263.95060847159
"all","[30,35)","dx_lost_none_to_lost_dad",3349.42200659091
"all","[30,35)","dx_lost_none_to_lost_both",0
"all","[30,35)","dx_lost_mom_to_lost_both",0
"all","[30,35)","dx_lost_dad_to_lost_both",323.154510623027
"all","[30,35)","ex_lost_none",18.1312742946721
"all","[30,35)","ex_lost_mom",2.79898397820259
"all","[30,35)","ex_lost_dad",8.23768353616589
"all","[30,35)","ex_lost_both",19.2292790611349
"all","[30,35)","ex",48.3972208701754
"all","[30,35)","lx_lost_mom",1360.44196125932
"all","[30,35)","lx_lost_dad",4582.02959503045
"all","[30,35)","lx_lost_both",456.442982355113
"all","[30,35)","lx_lost_none",91326.2025649318
"all","[35,40)","lx",96855.6875
"all","[35,40)","dx",1062.03187561035
"all","[35,40)","Lx",481705.484375
"all","[35,40)","pr_lost_none",0.799692453801454
"all","[35,40)","pr_lost_mom",0.0529092982194847
"all","[35,40)","pr_lost_dad",0.125576722110768
"all","[35,40)","pr_lost_both",0.0218215258682965
"all","[35,40)","mx_lost_none_to_lost_mom",0.0058868070853428
"all","[35,40)","mx_lost_none_to_lost_dad",0.0118836421397382
"all","[35,40)","mx_lost_none_to_lost_both",0.000641022342677109
"all","[35,40)","mx_lost_dad_to_lost_both",0.00527129562882555
"all","[35,40)","mx_lost_mom_to_lost_both",0.0173071122604443
"all","[35,40)","Lx_lost_mom",25486.6991267582
"all","[35,40)","Lx_lost_dad",60490.9957505922
"all","[35,40)","Lx_lost_both",10511.5486881894
"all","[35,40)","Lx_lost_none",385216.240809462
"all","[35,40)","dx_lost_mom_to_dead",56.1913612252668
"all","[35,40)","dx_lost_dad_to_dead",133.366481716299
"all","[35,40)","dx_lost_both_to_dead",23.1751560465868
"all","[35,40)","dx_lost_none_to_dead",849.298876622203
"all","[35,40)","dx_lost_none_to_lost_mom",2262.69403714178
"all","[35,40)","dx_lost_none_to_lost_dad",4567.67918827538
"all","[35,40)","dx_lost_none_to_lost_both",246.387797565425
"all","[35,40)","dx_lost_mom_to_lost_both",440.12865273818
"all","[35,40)","dx_lost_dad_to_lost_both",318.162907331298
"all","[35,40)","ex_lost_none",14.0094427251434
"all","[35,40)","ex_lost_mom",2.60694268392121
"all","[35,40)","ex_lost_dad",7.869742963359
"all","[35,40)","ex_lost_both",19.3223202301931
"all","[35,40)","ex",43.8084486026166
"all","[35,40)","lx_lost_mom",2586.80593612173
"all","[35,40)","lx_lost_dad",7531.81658655192
