"sex","race","w_i_lost_mom_first","w_i_lost_mom_last","w_i_lost_dad_first","w_i_lost_dad_last","w_i_lost_both","w_s_lost_none","w_s_lost_mom","w_s_lost_dad","w_s_lost_both","w_s_total","n_i_lost_mom_first","n_i_lost_mom_last","n_i_lost_dad_first","n_i_lost_dad_last","n_i_lost_both","n_s_lost_none","n_s_lost_mom","n_s_lost_dad","n_s_lost_both","age"
"male","non-hispanic black",20409.0304043,0,41240.1303523,0,0,15031014.7277875,0,0,0,15031014.7277875,3,0,5,0,0,1957,0,0,0,0
"male","hispanic",4820.2296959,0,85370.0763414,0,0,26794293.9244567,0,0,0,26794293.9244567,2,0,10,0,0,4015,0,0,0,0
"female","hispanic",9639.9072343,0,31572.420977,0,4950.016329,26793358.5797036,0,0,0,26793358.5797036,2,0,6,0,1,4275,0,0,0,0
"male","non-hispanic white",40609.5789292,0,79424.1799833,0,4480.1312061,85624914.5103018,0,0,0,85624914.5103018,7,0,17,0,1,15201,0,0,0,0
"female","non-hispanic black",8194.5516285,0,46853.1814864,0,7807.3717428,17922793.0911798,0,0,0,17922793.0911798,1,0,8,0,1,2527,0,0,0,0
"male","non-hispanic asian",0,0,2325.8176938,0,0,8133491.6082615,0,0,0,8133491.6082615,0,0,1,0,0,1249,0,0,0,0
"female","non-hispanic white",33715.12961058,0,101746.5254123,0,0,87625872.5806889,0,0,0,87625872.5806889,10,0,18,0,0,15511,0,0,0,0
"female","non-hispanic other",8227.4094278,0,11779.5035925,0,0,4766897.3905932,0,0,0,4766897.3905932,1,0,3,0,0,805,0,0,0,0
"male","non-hispanic other",5628.7464791,0,20858.3065812,0,0,4762955.86645676,0,0,0,4762955.86645676,1,0,2,0,0,818,0,0,0,0
"female","non-hispanic asian",0,0,4879.1196821,0,2281.6480336,8523258.13663419,0,0,0,8523258.13663419,0,0,1,0,1,1339,0,0,0,0
"male","non-hispanic black",31172.0146609,0,69994.4887635,0,0,14914756.3936861,20409.0304043,41240.1303523,0,14976405.5544427,4,0,10,0,0,1944,3,5,0,1
"male","hispanic",16082.8896236,0,35072.3802507,0,0,26390845.919653,4820.2296959,85370.0763414,0,26481036.2256903,4,0,7,0,0,3967,2,10,0,1
"female","hispanic",41073.2258023,0,61855.0160111,0,0,26400898.263509,9639.9072343,31572.420977,4950.016329,26447060.6080494,7,0,11,0,0,4223,2,6,1,1
"male","non-hispanic white",71359.9452846,0,118444.9064378,0,22856.626792,84822922.6027573,40609.5789292,79424.1799833,4480.1312061,84947436.4928758,12,0,23,0,4,15103,7,17,1,1
"female","non-hispanic black",14997.1429157,0,75736.9504033,0,0,17694222.5376618,8194.5516285,46853.1814864,7807.3717428,17757077.6425195,2,0,13,0,0,2501,1,8,1,1
"male","non-hispanic asian",11230.167082,0,5272.8020374,0,0,8069351.9117028,0,2325.8176938,0,8071677.7293966,1,0,1,0,0,1240,0,1,0,1
"female","non-hispanic white",57493.0315844,0,155604.5693668,0,41117.1062434,86929773.922051,33715.12961058,101746.5254123,0,87065235.5770739,9,0,30,0,7,15405,10,18,0,1
"female","non-hispanic other",4117.6911131,0,9152.9937181,0,0,4704160.9162282,8227.4094278,11779.5035925,0,4724167.8292485,1,0,2,0,0,794,1,3,0,1
"male","non-hispanic other",5152.0523072,0,24068.7187284,0,0,4699884.57874436,5628.7464791,20858.3065812,0,4726371.63180466,1,0,4,0,0,809,1,2,0,1
"female","non-hispanic asian",10986.9201325,0,9860.5312752,0,0,8469525.69557499,0,4879.1196821,2281.6480336,8476686.46329069,2,0,2,0,0,1331,0,1,1,1
"male","non-hispanic black",11077.5520051,0,65243.1799033,0,0,14548783.5409564,51581.0450652,111234.6191158,0,14711599.2051374,2,0,10,0,0,1911,7,15,0,2
"male","hispanic",5742.2506834,0,86356.0338155,0,23304.617899,26031247.138075,20903.1193195,120442.4565921,0,26172592.7139866,1,0,12,0,1,3915,6,17,0,2
"female","hispanic",51621.0309663,0,99042.2430098,0,0,25957711.8700113,50713.1330366,93427.4369881,4950.016329,26106802.456365,7,0,16,0,0,4160,9,17,1,2
"male","non-hispanic white",53255.8794312,4289.929472,195128.4207348,0,4176.8963882,83591059.5316872,101359.3253868,197869.0864211,27336.7579981,83917624.7014933,12,1,32,0,1,14941,18,40,5,2
"female","non-hispanic black",9884.8111091,0,38426.4112533,0,4263.7331224,17393269.5078011,23191.6945442,115890.0441875,7807.3717428,17540158.6182756,3,0,8,0,1,2464,3,20,1,2
"male","non-hispanic asian",11432.945669,0,8554.7968085,0,0,7961426.9091494,11230.167082,7598.6197312,0,7980255.69596259,2,0,2,0,0,1224,1,2,0,2
"female","non-hispanic white",68625.9599014,0,155276.5958438,0,6523.4110489,85669808.3900731,88059.72462958,257351.0947791,41117.1062434,86056336.3157252,13,0,34,0,2,15238,18,48,7,2
"female","non-hispanic other",3867.54399027,0,0,0,0,4605482.3968097,12345.1005409,20932.4973106,0,4638759.9946612,2,0,0,0,0,776,2,5,0,2
"male","non-hispanic other",3646.8440934,0,16509.3226647,0,0,4495016.72959476,10780.7987863,44927.0253096,0,4550724.55369066,1,0,4,0,0,779,2,6,0,2
"female","non-hispanic asian",8531.2381104,0,16186.0232871,0,2733.2320463,8377632.36627539,10986.9201325,14739.6509573,2281.6480336,8405640.58539879,2,0,3,0,1,1318,2,3,1,2
"male","non-hispanic black",5233.8720642,0,30303.1781545,0,2664.776004,14178442.8382251,62658.5970703,176477.7990191,0,14417579.2343145,1,0,7,0,1,1878,9,25,0,3
"male","hispanic",9071.2552694,0,17766.8880527,0,0,25450911.6037064,26645.3700029,206798.4904076,23304.617899,25707660.0820159,2,0,3,0,0,3849,7,29,1,3
"female","hispanic",19613.8148408,0,72639.7140284,8688.4511726,4950.016329,25479541.6220429,102334.1640029,189412.701971,4950.016329,25776238.5043458,4,0,11,1,1,4089,16,32,1,3
"male","non-hispanic white",47550.629772,0,91213.6804253,0,0,82466222.0354103,154615.204818,388707.5776839,35803.5838583,83045348.4017704,12,0,18,0,0,14783,30,71,7,3
"female","non-hispanic black",25662.8204061,0,84522.5308429,0,0,17157017.7346775,33076.5056533,154316.4554408,12071.1048652,17356481.8006368,4,0,12,0,0,2429,6,28,2,3
"male","non-hispanic asian",18162.8786773,0,18434.5898983,11230.167082,0,7818741.7444304,22663.112751,16153.4165397,0,7857558.2737211,3,0,3,1,0,1207,3,4,0,3
"female","non-hispanic white",90650.0657553,0,165015.4153889,3704.0563103,0,84462784.427342,156685.68453098,412627.6906229,47640.5172923,85079738.3197882,17,0,32,1,0,15074,31,82,9,3
"female","non-hispanic other",5119.6314644,0,2477.339213,0,0,4496738.9104148,16212.64453117,20932.4973106,0,4533884.05225657,1,0,1,0,0,759,4,5,0,3
"male","non-hispanic other",0,3823.1490892,24273.1148871,0,0,4397350.04871266,14427.6428797,61436.3479743,0,4473214.03956666,0,1,5,0,0,762,3,10,0,3
"female","non-hispanic asian",3295.0322333,0,31358.9882988,0,0,8197940.55559109,19518.1582429,30925.6742444,5014.8800799,8253399.26815829,1,0,4,0,0,1292,4,6,2,3
"male","non-hispanic black",16995.3458302,0,6490.3007231,0,0,13932669.9819368,67892.4691345,206780.9771736,2664.776004,14210008.2042489,2,0,2,0,0,1849,10,32,1,4
"male","hispanic",16653.6050978,0,48559.0633722,0,13244.399226,24904655.0844225,35716.6252723,224565.3784603,23304.617899,25188241.7060541,3,0,6,0,1,3782,9,32,1,4
"female","hispanic",18649.8170043,0,56947.5514117,0,0,24902135.0926559,113259.5276711,262052.4159994,18588.4838306,25296035.520157,4,0,12,0,0,4013,19,43,3,4
"male","non-hispanic white",94490.8284652,0,143679.912082,0,0,81270237.8921815,202165.83459,479921.2581092,35803.5838583,81988128.568739,13,0,26,0,0,14603,42,89,7,4
"female","non-hispanic black",0,0,11876.4216357,0,7159.6707631,16743743.3244065,58739.3260594,238838.9862837,12071.1048652,17053392.7416148,0,0,3,0,1,2380,10,40,2,4
"male","non-hispanic asian",0,0,26206.3705865,0,0,7671960.4116525,29595.8243463,34588.006438,11230.167082,7747374.4095188,0,0,4,0,0,1186,5,7,1,4
"female","non-hispanic white",51873.5700713,0,112510.731675,0,0,83305729.8658176,243631.69397598,577643.1060118,51344.5736026,84178349.2394081,8,0,23,0,0,14905,47,114,10,4
"female","non-hispanic other",5914.7429001,0,0,0,0,4354342.9674184,21332.27599557,23409.8365236,0,4399085.07993757,1,0,0,0,0,737,5,6,0,4
"male","non-hispanic other",0,0,21460.1975452,0,0,4261333.10963687,14427.6428797,81886.3137722,3823.1490892,4361470.21537797,0,0,5,0,0,737,3,14,1,4
"female","non-hispanic asian",10342.026008,4484.5803383,11003.726143,0,0,8048548.67506489,22813.1904762,62284.6625432,5014.8800799,8138661.40816419,1,1,1,0,0,1268,5,10,2,4
"male","non-hispanic black",44325.7112845,0,56500.3406815,0,0,13547881.8149591,84887.8149647,205509.5676683,2664.776004,13840943.9735961,6,0,9,0,0,1812,12,33,1,5
"male","hispanic",29919.8519838,0,46635.4530941,5082.9742072,0,24313917.8550098,52370.2303701,268946.0950497,36549.017125,24671783.1975547,5,0,8,1,0,3692,12,37,2,5
