mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,age,race,name
4.285196673577139e-4,1.3344001158392034e-6,1.0732585977075259e-4,2.18543134682293e-4,3.5594238413548545e-4,4.2868353695229314e-4,5.014071509260583e-4,6.358197533517895e-4,6468.99194652345,1.000536457967607,1,non-hispanic white,theta_lost_none_to_lost_mom
7.496084167133862e-4,2.6826987997446666e-6,2.1282660696925583e-4,3.407932342119227e-4,6.08092415686731e-4,7.474250734515121e-4,8.891876196985095e-4,0.0011873374948234896,6293.728620353873,0.9995073972325136,2,non-hispanic white,theta_lost_none_to_lost_mom
7.190185825698331e-4,1.9443609206495384e-6,1.5924298166769923e-4,4.041295094213068e-4,6.145081986938871e-4,7.20653591301064e-4,8.270212443561697e-4,0.0010272546569234657,6707.5950270953235,0.9996278831708547,3,non-hispanic white,theta_lost_none_to_lost_mom
8.223040962966263e-4,2.032362529544304e-6,1.710172681373668e-4,4.79543342967808e-4,7.073149124343187e-4,8.228350832880906e-4,9.37902751108137e-4,0.0011553900338849075,7080.722441936679,1.0000777286969902,4,non-hispanic white,theta_lost_none_to_lost_mom
8.79176930851853e-4,2.9308488420904312e-6,2.283334849398777e-4,4.3131466799114663e-4,7.281653557434371e-4,8.805195665819059e-4,0.0010313473793843945,0.0013265911370467344,6069.49236609342,0.9998257940499181,5,non-hispanic white,theta_lost_none_to_lost_mom
0.0010083365184563337,2.43361759883533e-6,2.1394578990766253e-4,5.965487997443466e-4,8.673476414030113e-4,0.001006231456992866,0.0011512696233195732,0.0014342992427651851,7728.635309357066,0.9995115797604127,6,non-hispanic white,theta_lost_none_to_lost_mom
8.279572921229821e-4,2.1189330885397746e-6,1.7825990820912404e-4,4.758605362313405e-4,7.039712183407991e-4,8.321221569580038e-4,9.486076977636094e-4,0.0011719949868385664,7077.385818186435,0.9996600702054854,7,non-hispanic white,theta_lost_none_to_lost_mom
6.487746153969237e-4,1.6720741686679708e-6,1.4717932362622035e-4,3.553931161204247e-4,5.533938708668129e-4,6.517829863745511e-4,7.468447277217355e-4,9.505176202320212e-4,7747.873658107558,0.9997675698125831,8,non-hispanic white,theta_lost_none_to_lost_mom
8.99037270661633e-4,2.558588828249021e-6,2.0700001999880683e-4,5.001110197623287e-4,7.593375938504109e-4,8.964640528417859e-4,0.0010431478131800378,0.0012945310427440319,6545.454018412698,1.0003321439212862,9,non-hispanic white,theta_lost_none_to_lost_mom
6.553898929064422e-4,1.8427200007325214e-6,1.5646795082641929e-4,3.5363952418406057e-4,5.519979172849133e-4,6.564816811808205e-4,7.610736854713517e-4,9.642191873877277e-4,7209.94730203384,0.9994951954342701,10,non-hispanic white,theta_lost_none_to_lost_mom
0.001055145926089308,2.107751639485342e-6,1.8180480134026997e-4,7.085458550813469e-4,9.315113316883505e-4,0.00105406636692027,0.0011778100709836559,0.0014192396032102822,7439.980980951346,0.9995369861768204,11,non-hispanic white,theta_lost_none_to_lost_mom
7.763501272899936e-4,2.643660773372918e-6,2.0130577860128486e-4,3.850816984548033e-4,6.407093933283185e-4,7.755612696244598e-4,9.130681624881477e-4,0.0011811647706626476,5798.304642914781,0.9990870640685552,12,non-hispanic white,theta_lost_none_to_lost_mom
9.183686983997953e-4,2.3305229866855115e-6,2.0360571902613517e-4,5.170566050652934e-4,7.817607252347291e-4,9.177464194787922e-4,0.0010519465238238818,0.0013227976543556093,7632.611607825921,0.9997294184808951,13,non-hispanic white,theta_lost_none_to_lost_mom
0.001307805704722166,3.0478166383367204e-6,2.736153092748024e-4,7.839389035209505e-4,0.0011200154064540911,0.001305825068843342,0.0014921186342777906,0.0018288556031604245,8059.407505315087,0.9994935090949634,14,non-hispanic white,theta_lost_none_to_lost_mom
0.0010383012560137132,2.787686351380826e-6,2.424735972987875e-4,5.518790818045819e-4,8.777402825048179e-4,0.0010376744151310993,0.0011997236462189932,0.001533639102312049,7565.560241604427,0.9994676243058929,15,non-hispanic white,theta_lost_none_to_lost_mom
0.00141723234428609,2.6772008946274067e-6,2.4320989389350886e-4,9.439127975413698e-4,0.001251497204455632,0.001417292604753297,0.0015822547449123982,0.0018846430721814887,8252.785427867293,0.9997007908919814,16,non-hispanic white,theta_lost_none_to_lost_mom
0.0019684020842767754,3.6457697672387888e-6,3.5563254388310455e-4,0.0012626925384354502,0.0017255568903526066,0.001971456686239702,0.0022052524319238565,0.0026575582331101895,9515.344453546064,0.9991626810465207,17,non-hispanic white,theta_lost_none_to_lost_mom
0.0018590033039503444,3.3290780161750384e-6,3.2464544891187906e-4,0.0012243869150197954,0.0016411973943044346,0.0018605607992027654,0.0020792431063983647,0.002508686120272788,9509.784867307648,0.9994503973471562,18,non-hispanic white,theta_lost_none_to_lost_mom
0.0018642420137229454,2.5503438981568834e-6,2.7463923845847364e-4,0.0013358802682968095,0.0016724412493473316,0.0018608622944197187,0.0020544651425473633,0.002399870741206826,11596.519956662247,0.9994711458629463,19,non-hispanic white,theta_lost_none_to_lost_mom
0.0023245542669878606,4.3265986320912275e-6,3.943033102619048e-4,0.0015466936820949407,0.002063909057377885,0.0023228258999658923,0.0025864037085778463,0.003106347865570928,8305.535309485198,0.9994889946406605,20,non-hispanic white,theta_lost_none_to_lost_mom
0.002673706873429771,3.915386379575158e-6,3.853211553885126e-4,0.0019118016260815571,0.002410743953536738,0.0026761328711254256,0.002937862602996875,0.003440674861079787,9684.929334764687,0.9992203794010992,21,non-hispanic white,theta_lost_none_to_lost_mom
0.0026218504393310436,3.5037723494495316e-6,3.316995365539425e-4,0.0019657129324933656,0.0023982346294726085,0.0026173350865164252,0.002844342494580186,0.00327280989449448,8962.26884423404,0.9997281014491429,22,non-hispanic white,theta_lost_none_to_lost_mom
0.002182958546852291,3.713233662750283e-6,3.362545884536977e-4,0.0015378373285634326,0.001952162762474753,0.0021896861508444486,0.0024071868906778075,0.0028349035724390143,8200.340404728195,0.9995247619499029,23,non-hispanic white,theta_lost_none_to_lost_mom
0.0022782906976437224,3.601978557448617e-6,3.535906463459178e-4,0.0015863688120258508,0.0020403849255783138,0.0022835385767751215,0.00251953867870815,0.0029835585803296215,9636.499198695225,0.9994031356825303,24,non-hispanic white,theta_lost_none_to_lost_mom
0.0014382538764990958,2.7568457319949727e-6,2.647531205209321e-4,9.204073452385268e-4,0.0012641219866282177,0.0014364303849967093,0.0016150433514608876,0.001964496110499763,9222.682254929523,0.999482709400528,25,non-hispanic white,theta_lost_none_to_lost_mom
