mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,age,race,name
0.07784419539252634,8.429939976824542e-4,0.07093574717334539,0.0026147040812580925,0.023890994715090957,0.057158879165964446,0.11083114007313682,0.2584072731081786,7080.783739456905,0.9997652454110268,1,non-hispanic white,theta_lost_none_to_lost_mom
0.12480470096934407,0.0013302481697405593,0.10018856037841514,0.005084786073038198,0.04669828033038459,0.09994847627927657,0.18160743277075111,0.3636303070117308,5672.453341711684,0.9999779311021503,2,non-hispanic white,theta_lost_none_to_lost_mom
0.1814386232898295,0.0019704732163020717,0.14996229778722767,0.005936496011718708,0.06862583034043024,0.1448403013297644,0.2576009893325905,0.5616563063598832,5791.927277963549,0.9992226007001342,3,non-hispanic white,theta_lost_none_to_lost_mom
0.18687080369313736,0.002112852778115325,0.1554920222386167,0.007168314825225932,0.06456585097245315,0.14803445351386565,0.2680545684109169,0.5788592942774965,5415.988704520032,0.9998844589739295,4,non-hispanic white,theta_lost_none_to_lost_mom
0.13152868843697268,0.0014267273380789726,0.10819125572954645,0.004964708014115483,0.04932705348361599,0.1048978692527815,0.18861768032199258,0.3961037675478879,5750.456956056172,0.9998964496144147,5,non-hispanic white,theta_lost_none_to_lost_mom
0.12793777543080107,0.0015621757359215982,0.10555859117956723,0.003949210208829327,0.045529617887404415,0.10293698314073808,0.18483246969644754,0.3914636708129322,4565.910505104833,1.0005678415432837,6,non-hispanic white,theta_lost_none_to_lost_mom
0.12737426735875365,0.001514601491370752,0.10528337998519519,0.004054881585484014,0.04744940592115901,0.10126412795266887,0.1807798470170212,0.3924069568737607,4831.9549622658815,1.0009337588280427,7,non-hispanic white,theta_lost_none_to_lost_mom
0.12695618765961508,0.001477572187120908,0.10727783032856228,0.0034578718729271303,0.044925962073219056,0.10020365058404787,0.18282956688801186,0.39726272975890603,5271.358432234376,0.9996568383336997,8,non-hispanic white,theta_lost_none_to_lost_mom
0.12955647448608185,0.0013575582083007866,0.10853405656101696,0.004890997720835575,0.047147552484075365,0.10140729302918997,0.18233903076719293,0.4072091823106466,6391.681870548938,0.9992289064647618,9,non-hispanic white,theta_lost_none_to_lost_mom
0.12758517785366916,0.0013982247802908929,0.10612487674459112,0.005105887030495047,0.04392637945402697,0.10202279694981034,0.18207878917401465,0.3944634314397206,5760.76830201156,0.9997466469122119,10,non-hispanic white,theta_lost_none_to_lost_mom
0.13248657338515424,0.0014972508614443808,0.11018382288908118,0.004998870348433448,0.04816696422161839,0.10561090284421713,0.18912259962436107,0.4030768228065344,5415.599375900064,1.0003715579437564,11,non-hispanic white,theta_lost_none_to_lost_mom
0.12901293381436066,0.0014280048120900678,0.10786206523162196,0.004599096946846465,0.04537021964601095,0.10245283420872117,0.18348545139574346,0.4044163595510317,5705.295209332812,0.9998408755645593,12,non-hispanic white,theta_lost_none_to_lost_mom
0.12666485846170317,0.0014129099716976247,0.10540079368171318,0.0048714761668628955,0.04475813631134828,0.10044269607284934,0.18024062452760897,0.396661620727548,5564.9181621132875,0.9995246053871814,13,non-hispanic white,theta_lost_none_to_lost_mom
0.12880944596862384,0.0013584296132843467,0.10374404938410707,0.005361192928522522,0.05043958504196895,0.1049110290765528,0.18102456418906349,0.3892639715246977,5832.46458197034,1.0001775640948574,14,non-hispanic white,theta_lost_none_to_lost_mom
0.1291701859345777,0.0015542107803112404,0.10541516563166732,0.003902219266670775,0.04710262793491267,0.10395795507845369,0.18503176004864647,0.39411337978637456,4600.302146690179,0.9999375743689983,15,non-hispanic white,theta_lost_none_to_lost_mom
0.12941009830642158,0.0014286045521738555,0.10798619085160342,0.004471617287293229,0.046659628209000464,0.10298352680449721,0.18403222245124273,0.395446485192923,5713.633571523767,0.9997615102105502,16,non-hispanic white,theta_lost_none_to_lost_mom
0.1322724808661871,0.0014235534169975196,0.10892890489374989,0.004957550697301956,0.04811918904629809,0.10568364715624833,0.18866803690319964,0.4021411894449084,5855.159616279294,0.9994079813208622,17,non-hispanic white,theta_lost_none_to_lost_mom
0.13042135333966415,0.0014737967954537893,0.10886375298767019,0.004592096268358485,0.04637674531740726,0.10313823882694528,0.18870337544904023,0.40410298866767735,5456.213912175408,0.9993903747377246,18,non-hispanic white,theta_lost_none_to_lost_mom
0.1300854536893728,0.0014958849754190835,0.10709168139915143,0.004536229730505026,0.04596784989641277,0.10330093420106762,0.1886879754339898,0.39357478158180303,5125.250235087688,0.9999717924572827,19,non-hispanic white,theta_lost_none_to_lost_mom
0.12500815600325124,0.0014451756234214162,0.10388144031655719,0.003868279404308943,0.043306688184281225,0.10048991128460008,0.17944625568103262,0.387886569779821,5166.954890961001,1.0000078337813605,20,non-hispanic white,theta_lost_none_to_lost_mom
0.0033126002689117537,2.9108717749577058e-5,0.002060486081328341,2.265618115629442e-4,0.0016863466742276056,0.0030566343930340995,0.004653301572510574,0.007718288156860407,5010.640222546449,1.0003634761705098,21,non-hispanic white,theta_lost_none_to_lost_mom
