mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,age,race,name
2.939939466046399e-4,2.443145358379525e-6,1.5412242035148493e-4,2.59114799103017e-5,1.808586399734587e-4,2.878673640541908e-4,3.9561674149707457e-4,6.198320195804768e-4,3979.5414060087583,0.9993679509007936,1,hispanic,theta_lost_none_to_lost_mom
0.001091734140803359,4.81025820184429e-6,3.3178143454683543e-4,4.549255889386639e-4,8.681539294762767e-4,0.0010860063487347763,0.0013119286218522524,0.0017563753761185542,4757.374974209322,0.9999674524173224,2,hispanic,theta_lost_none_to_lost_mom
0.0011165930239157077,6.3086810326191684e-6,4.1616098999358174e-4,3.2098455442564267e-4,8.205234111850825e-4,0.0011140321171517744,0.0014018392675607546,0.0019318700257806684,4351.5662117737465,0.999710444869321,3,hispanic,theta_lost_none_to_lost_mom
5.642950843277414e-4,4.802775685683097e-6,2.542702619534519e-4,7.997547947846808e-5,3.8722870838192374e-4,5.629745250312131e-4,7.379918685878576e-4,0.001064738550536712,2802.8930988204124,1.0008684331074045,4,hispanic,theta_lost_none_to_lost_mom
7.14790526312096e-4,4.702832370438827e-6,2.672965637945186e-4,2.0378715089975106e-4,5.293868921812366e-4,7.140922472971777e-4,8.918303556213925e-4,0.001236896625745918,3230.48518566682,1.0001714869736775,5,hispanic,theta_lost_none_to_lost_mom
0.001066153369279523,6.81340631467516e-6,3.9962438911528834e-4,2.8550223337740955e-4,7.910221212445476e-4,0.0010614526116606172,0.001342657356458041,0.001838880453190807,3440.1342685239247,1.0001485172265643,6,hispanic,theta_lost_none_to_lost_mom
7.019219475122617e-4,5.887097742401537e-6,3.3033641238298516e-4,1.0338096384872557e-4,4.565489750149598e-4,6.930148374822033e-4,9.26821055533113e-4,0.0013580136823955332,3148.54861127721,0.999974639262606,7,hispanic,theta_lost_none_to_lost_mom
5.639193920641408e-4,5.70405642075078e-6,2.890483744133518e-4,4.733515545987394e-5,3.502482757173163e-4,5.538063848023459e-4,7.567427580608254e-4,0.0011657653114962537,2567.872387511988,1.0003474599765596,8,hispanic,theta_lost_none_to_lost_mom
0.001495085925288051,8.811309553389872e-6,4.902452111283768e-4,5.296760822912233e-4,0.0011588946585671732,0.0014951633524708454,0.001828885552591903,0.0024343260635307016,3095.6068736865845,1.0006270911532753,9,hispanic,theta_lost_none_to_lost_mom
0.0012442818229515258,6.051903483035811e-6,3.8981257817148157e-4,5.01803049684352e-4,9.753379278298806e-4,0.0012438735903993782,0.0015007553546976147,0.001994071610692946,4148.849782384332,0.9994122562775323,10,hispanic,theta_lost_none_to_lost_mom
0.0013741200890245468,7.2845009181615635e-6,4.2766585991591943e-4,5.146014485408576e-4,0.0010912553147555703,0.0013691122887150792,0.0016640094464185342,0.0022168633883080735,3446.748220539793,1.0011253395021462,11,hispanic,theta_lost_none_to_lost_mom
8.683435426809407e-4,5.824403246438145e-6,3.6925248158318195e-4,1.7608309197786809e-4,6.029429967052703e-4,8.636995660156485e-4,0.001126034709646825,0.001596631723879479,4019.240323518431,0.9996747354510723,12,hispanic,theta_lost_none_to_lost_mom
0.0011098962015346978,8.85219129891439e-6,4.0493546422557377e-4,3.069682016860441e-4,8.322435780470472e-4,0.0011101668178887356,0.0013889143762563583,0.0018896234174373863,2092.5220670703466,1.0005802214150017,13,hispanic,theta_lost_none_to_lost_mom
6.810266005247481e-4,4.823216313407005e-6,3.031078867595737e-4,1.2190960621500403e-4,4.714964475342741e-4,6.674717309565609e-4,8.860827382027578e-4,0.0013054412155298037,3949.307899244708,1.0003182230472907,14,hispanic,theta_lost_none_to_lost_mom
0.0012080955427731758,6.803320959347489e-6,4.359260536294333e-4,3.6293388900084263e-4,9.103866462266758e-4,0.0012006164103423788,0.0015083306111220085,0.002060247544784691,4105.667091366886,1.0000886919008758,15,hispanic,theta_lost_none_to_lost_mom
0.0011814089513244833,6.878643956302106e-6,4.2868320079873275e-4,3.556827572164993e-4,8.83080506927429e-4,0.0011784359835912593,0.0014622143377005532,0.0020426627777335132,3883.8931029641553,1.0013696547322333,16,hispanic,theta_lost_none_to_lost_mom
0.0023323448309544585,1.5563948945372364e-5,7.933447347752955e-4,7.481001876815291e-4,0.0018052839673955885,0.002335930474539516,0.002877195593911442,0.0038833297356850424,2598.27008148893,0.9997061545651369,17,hispanic,theta_lost_none_to_lost_mom
0.0010285862862091982,6.800063553023254e-6,3.694807941048203e-4,3.117251874606e-4,7.808285072057294e-4,0.001023594773694114,0.0012781868243269868,0.0017532858660815824,2952.2816929281153,0.9999813610827103,18,hispanic,theta_lost_none_to_lost_mom
0.0025850617050798296,1.2292678031927297e-5,7.715896595544173e-4,0.0010927147405306464,0.002050797353845062,0.0025896536628414327,0.0031047902647575185,0.004135124485425729,3939.850876359112,1.0020093307992495,19,hispanic,theta_lost_none_to_lost_mom
0.0016590196361605449,9.601561611904783e-6,5.852825043017876e-4,5.202772914494578e-4,0.0012613562039594226,0.001643549482264996,0.0020491830949245842,0.0027984225445388793,3715.757285382111,0.9993768135988846,20,hispanic,theta_lost_none_to_lost_mom
0.002836866253951156,1.788938404256857e-5,9.311793398049863e-4,0.0010024165850936121,0.0022230046665511795,0.002858764081199296,0.003434624194033841,0.004659364565920903,2709.4172310734966,1.0005406170634314,21,hispanic,theta_lost_none_to_lost_mom
9.114617710357057e-4,5.991030541568443e-6,3.8354617424834906e-4,1.7752562383486085e-4,6.48248667845814e-4,9.126255412903192e-4,0.0011695089147281128,0.0016734863852037938,4098.56892692352,0.999879078061047,22,hispanic,theta_lost_none_to_lost_mom
0.0030066964528520286,1.1472182869662262e-5,7.827104829891192e-4,0.001406120675655822,0.002483355527623997,0.003004392800114084,0.003541394647775857,0.0045411134075884225,4654.898102995993,1.0004470800140224,23,hispanic,theta_lost_none_to_lost_mom
0.002326602648799716,1.0664271606307953e-5,7.563958660543911e-4,7.887156716450161e-4,0.0018189908450830018,0.002342021872896873,0.002827663393229848,0.003850258812224684,5030.786631992189,0.9996584159615152,24,hispanic,theta_lost_none_to_lost_mom
0.0026036544468330484,1.3420347422115296e-5,8.820264986343102e-4,9.008122510591567e-4,0.001986562472237989,0.002590854050240613,0.003213056770649276,0.004334406332651144,4319.522572612684,0.9997868839589578,25,hispanic,theta_lost_none_to_lost_mom
0.0054542157660282045,1.915826765150719e-5,0.0013383412007625694,0.0027651316180162437,0.004585366701712749,0.005455052242235634,0.006334541656399426,0.008088001432164165,4880.015744784672,1.00015030447467,26,hispanic,theta_lost_none_to_lost_mom
0.0038097322265249834,1.086866745291504e-5,8.882819996115788e-4,0.0020457866209766125,0.003218136435636228,0.0038224217591014565,0.004410138959150991,0.005514410991144818,6679.579470537963,1.0000511677837356,27,hispanic,theta_lost_none_to_lost_mom
0.0038711903567452237,1.4208940678371403e-5,0.001084043243973842,0.0017190923897931433,0.0031381614129240808,0.003865016493860166,0.004597047731719971,0.005966254743758481,5820.627570585272,0.9995377921044063,28,hispanic,theta_lost_none_to_lost_mom
0.004794635734062749,1.9833517651055963e-5,0.0013942740753161895,0.0021257346064303836,0.003837893057729636,0.004788795074279333,0.005726820169413527,0.007534517934388669,4941.932514982497,0.9999301368157445,29,hispanic,theta_lost_none_to_lost_mom
0.003947307449544438,1.7337477832431968e-5,0.0011963065479807242,0.001616695551507277,0.0031263185089727046,0.003952919800770204,0.004755741856243042,0.006338949680379374,4761.163791145016,0.9995017868395112,30,hispanic,theta_lost_none_to_lost_mom
0.00884471665807522,2.7173956453721937e-5,0.0020547677135847025,0.004978499850046055,0.007418949389627868,0.008832394913476503,0.010260220374447652,0.012858451141438817,5717.678292017379,0.9993251715614919,31,hispanic,theta_lost_none_to_lost_mom
0.004243533487142138,1.4022954035454617e-5,0.0010467950549478307,0.0021995073250693797,0.003532587681969639,0.004241576722872124,0.004967893302419568,0.006205570454507459,5572.425920816234,0.9999236827883152,32,hispanic,theta_lost_none_to_lost_mom
0.004084687167089317,1.679859836215704e-5,0.0012317944395757944,0.0016165783068193358,0.0032606704378059406,0.004056121380254308,0.004940814433656597,0.006529633880216098,5376.880510075137,0.999949815064537,33,hispanic,theta_lost_none_to_lost_mom
